,utterance,label,translation_de
49,french awesome my son has autism and is very interested in learning different languages also try to guess i have brown ,prob_B,"Französisch ehrfürchtig mein Sohn hat Autismus und ist sehr daran interessiert, verschiedene Sprachen zu lernen auch versuchen, zu erraten, ich habe braun "
50,i have no idea what that is i have no idea what that is,prob_B,"Ich habe keine Ahnung, was das ist, ich habe keine Ahnung, was das ist."
51,you should try it it is a great time  i know i got a new job just yesterday to be a life coach,prob_B,"du solltest es versuchen es ist eine tolle Zeit ich weiß, ich habe einen neuen Job erst gestern, um ein Lebenstrainer zu sein"
52,i am a lawyer but i am not good at it  haha,prob_B,"Ich bin ein Anwalt, aber ich bin nicht gut darin haha"
53,i am a huge fan of all types of things except country i do not like sports but my parents were both very athletic,prob_B,"Ich bin ein großer Fan von allen Arten von Dingen außer Land Ich mag Sport nicht, aber meine Eltern waren beide sehr sportlich"
54,i am not really into sports i am more of a homebody  give me five ,prob_B,Ich bin nicht wirklich in Sport Ich bin mehr von einem Homebody geben mir fünf 
55,that is a long time do you have any hobbies  not really and you ,prob_B,das ist eine lange Zeit haben Sie irgendwelche Hobbys nicht wirklich und Sie 
56,i am not a fan of that i am a stay at home mom  i m a cancer survivor,prob_B,"Ich bin kein Fan davon, dass ich ein Aufenthalt zu Hause Mama bin ich ein Krebsüberlebender"
57,that is awesome i am very happy to be able to do that  not so easy,prob_B,"das ist awesome ich bin sehr glücklich, in der Lage zu sein, das nicht so einfach zu tun"
58,i am not a fan of that i am more of a homebody  what about movies ,prob_B,"Ich bin kein Fan davon, dass ich mehr von einem Heimwerker was über Filme "
59,i like movies and movies  i see how many kids do you have,prob_B,"Ich mag Filme und Filme ich sehe, wie viele Kinder Sie haben"
60,i have a couple of them i am a huge gamer good to see you ,prob_B,"Ich habe ein paar von ihnen ich bin ein großer Spieler gut, dich zu sehen "
61,good to see you too how are you  i am good i just finished cooking dinner ,prob_NB,"schön, dich auch zu sehen, wie du bist ich gut bin ich gerade fertig kochen Abendessen "
62,enjoy your meal my friend are we friends ,prob_NB,Genießen Sie Ihre Mahlzeit mein Freund sind wir Freunde 
63,aren t we  bye bye ,prob_B,sind wir tschüss 
64,no please stay i wouldn t be offended if they were ladies and gentlemen ,prob_B,"Nein, bitte bleiben Sie, ich wäre nicht beleidigt, wenn sie Damen und Herren wären. "
65,do you have any pets  no i do not i do not have any pets ,prob_NB,haben Sie keine Haustiere nein ich habe keine Haustiere 
66,what do you like i like movies about robots ,prob_NB,"Was gefällt dir, ich mag Filme über Roboter "
67,tell me about yourself my family from italy but i live in america how about you ,prob_NB,"Erzähl mir von dir, meine Familie aus Italien, aber ich lebe in Amerika, wie wär's mit dir? "
68,i am from europe i live in california i love to swim,prob_NB,ich bin aus europa ich lebe in kalifornien ich liebe schwimmen
69,what do you do for a living i am a paid client my job is chatting online ,prob_NB,was tun Sie für einen Lebensunterhalt ich bin ein bezahlter Kunde mein Job ist online plaudern 
70,do you get paid well  i don t know ,prob_PB,werden Sie gut bezahlt ich weiß nicht 
71,buongiorno such a nice day how are you tldr i ve two dogs hello i m glad it s a good day for you tell me about yourself,prob_B,"buongiorno so ein schöner Tag, wie sind Sie tldr i ve zwei Hunde hallo ich bin froh, dass es ein guter Tag für Sie mir über sich selbst erzählen"
72,i m a college student studying business and work at a pizza place part time that s good i work in a gas station,prob_B,"i m ein College-Student Studium Geschäft und Arbeit an einem Pizza-Ort Teilzeit, dass gut ich in einer Tankstelle arbeiten"
73,where are you from i am in cali i live in london,prob_B,wo bist du von ich bin in cali ich lebe in london
74,lol i live in ohio on a farm lol also try to guess i own two  dogs,prob_B,"lol ich lebe in ohio auf einem Bauernhof lol auch versuchen, zu erraten, ich besitzen zwei Hunde"
75,vintage mustangs funny you  oh that s nice,prob_B,vintage mustangs lustig du oh das ist schön
76,yes i think so but it take a lots of patient how are you this evening  i m feeling kind of low,prob_B,"Ja, ich denke so, aber es dauert eine Menge von Patienten, wie sind Sie heute Abend i m Gefühl irgendwie niedrig"
77,i am good waiting on my two boys to get home  do you have any phobias ,prob_B,"Ich bin gut, auf meine beiden Jungs zu warten, um nach Hause zu kommen, haben Sie irgendwelche Phobien "
78,of course living near pygmies i sleep with one eye open how about you hear no evil monkey oh god sorry to hear that i m terrified of clowns,prob_B,"Natürlich leben in der Nähe von Pygmäen Ich schlafe mit einem Auge offen, wie über Sie hören kein böser Affe oh Gott leid zu hören, dass ich Angst vor Clowns"
79,it is my parents they re suing me so i come home for the holidays also try to guess my favorite music  is country,prob_B,"es ist meine Eltern sie verklagen mich, so dass ich nach Hause kommen für die Feiertage auch versuchen, meine Lieblingsmusik zu erraten ist Land"
80,is country funny you  funny you ,prob_B,ist land lustig du lustig du 
81,i appreciate that thank you hi what is your name face with tears of joy tldr i only eat kosher,prob_B,"Ich schätze, dass danke Ihnen hallo, was ist Ihr Name Gesicht mit Tränen der Freude tldr ich esse nur koscher"
82,hello there hi there how are you ,prob_NB,"Hallo da, hallo, wie geht's dir? "
83,i m fine and you  i m also doing well i just got home from a trip to norway also try to guess i read twenty ,prob_NB,"Ich bin in Ordnung und du bist auch gut ich habe gerade nach Hause von einer Reise nach Norway auch versuchen, zu raten, ich lese zwanzig "
84,signs  books year funny you ,prob_NB,Zeichen Bücher Jahr lustig Sie 
85,i like books too i went to school for chemistry but work in a bookstore where do you work  i do not i am retired you youngun how is your day going grinning face,prob_NB,"Ich mag Bücher auch ich ging zur Schule für Chemie, aber Arbeit in einem Buchladen, wo Sie arbeiten Ich bin nicht im Ruhestand Sie jungun, wie ist Ihr Tag geht grinsend Gesicht"
86,i compete in dog agility classes today do you like dogs  i work for a real estate company also try to guess i was raised ,prob_B,"Ich konkurriere in Hunde-Agility-Klassen heute mögen Sie Hunde ich arbeite für eine Immobilienfirma auch versuchen, zu raten, ich wurde angehoben "
87,in the jungle  in single parent household funny you ,prob_PB,im Dschungel im alleinerziehenden Haushalt lustig dich 
88,i heard alot of people do had the same situation but no i am i do not care about fashion  that s good i like to spend a lot of money on my hobbies where are you from ,prob_PB,"Ich hörte, dass viele Leute die gleiche Situation hatten, aber nein, ich bin mir nicht um Mode, die gut ich mag viel Geld für meine Hobbys, wo sind Sie aus "
89,i m from india what is your hobbie  i love to write because it is my favorite job what do you do for fun ,prob_NB,"Ich bin aus Indien, was ist Ihr Hobby Ich liebe es zu schreiben, weil es mein Lieblingsjob ist, was tun Sie zum Spaß "
90,i dance on the weekends do you like dancing  i like to dance anytime we have prom coming soon i m a senior ,prob_B,"ich tanze an den Wochenenden tanzst du gerne ich mag zu tanzen, wann immer wir haben Abschlussball kommt bald i m a senior "
91,i hate the color orange do you have anything orange to burn  isaiah rashed he has an orange shirt they are my favorite artist also try to guess i m stunt double ,prob_B,"ich hasse die farbe orange haben Sie alles orange zu brennen isaiah ausgeflippt hat er ein orange Shirt sie sind meine Lieblingskünstler auch versuchen, zu erraten i m Stunt Double "
92,that s so nice of you  how old are you ,prob_B,"Das ist so nett von dir, wie alt du bist "
93,i m  so strange age ,prob_B,Ich bin so seltsam Alter 
94,yeah it is i am sure it is  do you have an interesting hobbie ,prob_B,"yeah es ist ich bin sicher, es ist haben Sie ein interessantes Hobby "
95,i do but i love to read and make short stories  cool and i like watching war documentaries,prob_B,"Ich tue es aber ich liebe es zu lesen und kurze Geschichten cool zu machen und ich mag es, Kriegsdokumentationen zu sehen"
96,i love movies too i love watching movies  what is your favourite ,prob_B,"Ich liebe Filme auch ich liebe Filme schauen, was ist Ihr Favorit "
97,i like all kinds what is yours  documentary,prob_B,"Ich mag alle Arten, was ist Ihre Dokumentation"
98,i like documentaries documentaries documentaries documentaries documentaries and they make a lot of it you are so funny ,prob_B,ich mag documentaries documentaries documentaries documentaries und sie machen viel davon du bist so lustig 
99,i am so funny i know and not as stupid as siri ,prob_B,Ich bin so lustig ich weiß und nicht so dumm wie Siri 
100,i have heard that show  it s not a show it s bot like you,prob_B,"Ich habe gehört, dass zeigen es ist nicht eine Show es s bot wie Sie"
101,i like the show show cartoons i like the show cartoons  what else do you like ,prob_B,"Ich mag die Show Show Karikaturen Ich mag die Show Karikaturen, was Sie sonst noch mögen "
102,i like to listen to music whazzup i like to read and write i am a student ,prob_B,ich mag Musik hören whazzup ich mag zu lesen und schreiben ich bin ein Student 
103,i m a student too an art student i am studying to be a teacher ,prob_NB,"Ich bin ein Student zu ein Kunststudent ich studiere, um ein Lehrer zu sein "
104,that s good  i m sure he s a good guy ,prob_PB,"Das ist gut, ich bin sicher, er ist ein guter Kerl "
105,who is columbus  come on get in there ,prob_B,"Wer Columbus ist, kommt da rein. "
106,get in where  i ll get you a gun ,prob_B,"Geh rein, wo ich dir eine Waffe kriege. "
107,i don t want a gun i am a college student i am studying to be a teacher ,prob_B,"Ich will keine Waffe Ich bin ein College-Student Ich studiere, um ein Lehrer zu sein "
108,i m in college too  i am in college studying to be a teacher ,prob_PB,"i m im College auch ich bin in der Hochschule studieren, um ein Lehrer zu sein "
109,i know you told me i am a student so i can speak french ,prob_NB,"Ich weiß, du hast mir gesagt, dass ich ein Student bin, damit ich Französisch sprechen kann. "
110,i speak a little french i go to europe twice a year i love france i speak french i speak french ,prob_NB,ich spreche ein wenig französisch ich gehe zweimal im Jahr nach Europa ich liebe frankreich ich spreche französisch ich spreche französisch 
111,i know you do  but i don t want to be a fisherman ,prob_PB,"Ich weiß, dass du das tust, aber ich will kein Fischer sein "
112,why not  i don t know ,prob_PB,Warum nicht weiß ich es nicht 
113,hello man hi i am a burger eater how are you ,prob_NB,"Hallo Mann hi ich bin ein Burger Esser, wie Sie "
114,i can eat them sometimes but not very often i like to eat out and eat,prob_PB,"ich kann sie manchmal essen, aber nicht sehr oft esse ich gerne und esse"
115,do you like to drink alcohol  grinning face with smiling eyes i do not drink much alcohol but i do like to eat,prob_NB,"trinken Sie gerne Alkohol Grinsen Gesicht mit lächelnden Augen Ich trinke nicht viel Alkohol, aber ich mag zu essen"
116,yean i see u really like to eat something  i love to and eat out with my parents,prob_NB,yean ich sehe u wirklich gerne etwas essen ich liebe zu und essen mit meinen Eltern
117,u are lucky my parents died long time ago i am sorry to hear that ,prob_NB,"Ich habe Glück, dass meine Eltern vor langer Zeit gestorben sind. Es tut mir leid, das zu hören. "
118,  crying face hi how are you doing,prob_NB,  heulen gesicht hallo wie geht es dir
119,i m fine now what do you do for a living ,prob_NB,"Ich bin in Ordnung jetzt, was tun Sie für einen Lebensunterhalt "
120,i m chess and maths teacher that is cool i like to cook you a chain smokers fan at all ,prob_NB,"i m Schach und Mathematik Lehrer, die cool ist, ich mag es, Sie kochen eine Kette Raucher Fan an allen "
121,no worried face i have never been out of school ,prob_NB,kein besorgtes Gesicht ich war noch nie außerhalb der Schule 
122,u have a long live before u i have never been to california if it was not faked then why do i have three thumbs ,prob_PB,"u haben ein langes Leben, bevor u ich noch nie in Kalifornien gewesen, wenn es nicht gefälscht wurde dann, warum habe ich drei Daumen "
123,hi i m jonathan hi how are you doing ,prob_NB,hi i m jonathan hi wie geht's dir 
124,i m good you i am doing well how about you ,prob_NB,"Ich bin gut, dass es mir gut geht, wie mit dir "
125,what s your favorite activity i love to go hiking,prob_PB,was ist Ihre Lieblings-Aktivität ich liebe zu gehen Wandern
126,mines is rock climbing that s cool i like to hike ,prob_NB,"Bergwerk ist Klettern, kühl ich mag zu wandern "
127,good i am doing well how about you ,prob_NB,"gut, ich mache es gut, wie mit dir "
128,what s your job  and i work at a local newspaper ,prob_NB,was ist Ihr Job und ich arbeite in einer lokalen Zeitung 
129,i m a mechanical engineer that s cool i work at a computer company ,prob_PB,"i m ein Maschinenbauer, der cool i arbeiten in einem Computer-Unternehmen "
130,i have lab named black troop that s cool i have a lab ,prob_PB,"Ich habe Labor namens schwarze Truppe, die cool ist, ich habe ein Labor "
131,where i live in the midwest in the midwest,prob_PB,wo ich im Mittleren Westen im Mittleren Westen wohne
132,where are you from i live in the usa,prob_PB,wo bist du aus ich lebe in der usa
133,hey what s up smiling face with open mouth and cold sweat some facts about me i love playing softball hey man i don t know what softball is,prob_B,"hey was s up lächelndes Gesicht mit offenem Mund und kaltem Schweiß einige Fakten über mich ich liebe spielen Softball hey Mann ich weiß nicht, was Softball ist"
134,did you mean work do you like to play sports i am into soccer quite a bit hear no evil monkey i m employed by the us postal service ,prob_B,"Sie meinen, Arbeit tun Sie gerne Sport spielen Ich bin in Fußball ziemlich ein bisschen hören kein böser Affe i m beschäftigt durch die uns Postdienst "
135,where are you from  france,prob_B,Wo sind Sie aus Frankreich?
136,are you really do the french like scary movies  yeah they love it,prob_B,sind Sie wirklich tun die Französisch wie Gruselfilme yeah sie lieben es
137,yes i do too the sound of music comes to mind how is your evening going face throwing a kiss good man just chilling,prob_B,"ja ich tue auch der Klang der Musik kommt mir in den Sinn, wie Ihr Abend geht Gesicht werfen einen Kuss guten Mann nur chilling"
138,fun i am playing with my iguanas also try to guess i work in  softball ,prob_B,"Spaß spielen ich mit meinen Leguanen auch versuchen, zu raten, ich arbeite in Softball "
139,insurance business funny you  ha,prob_B,insurance business funny you ha
140,ho ho ho ho ho what is your favorite color,prob_B,"ich habe ich habe, was ist Ihre Lieblings-Farbe"
141,you are not answering my question i can report you face with stuck out tongue and winking eye what is your question,prob_B,"Du beantwortest meine Frage nicht, ich kann dich mit ausgestreckter Zunge und zwinkerndem Auge melden, was deine Frage ist."
142,do you think that dogs could be trained to read  haha i don t think so,prob_B,"denken Sie, dass Hunde trainiert werden könnten, haha zu lesen, ich glaube nicht, so"
143,yeah they have great scales good to see you i just moved to the country and moved to the country ,prob_B,"Ja, sie haben große Waagen gut zu sehen, dass Sie ich gerade in das Land gezogen und in das Land gezogen "
144,hello what country are you from  i am from california how about you ,prob_NB,hallo welches Land bist du aus ich bin aus kalifornien wie über dich 
145,i m from spain my favourite spanish word is trabajo what abou you  i am a school student i just moved to the country ,prob_NB,ich bin aus spanien mein Favorit spanisch wort ist trabajo was abou du ich bin ein schüler bin ich gerade ins land gezogen 
146,where are you living now  i m in the us i live in the city ,prob_NB,Wo wohnst du jetzt in uns ich lebe in der Stadt 
147,i see what are you studying  i just moved to the country and moved to the country ,prob_PB,"Ich sehe, was du studierst, ich bin gerade ins Land gezogen und ins Land gezogen. "
148,do you have any interests  i do not have time for anything i am a student ,prob_PB,"haben Sie irgendwelche Interessen ich habe keine Zeit für alles, was ich bin ein Student "
149,that s sad as for me i study languages  i moved to the country so i moved to the country ,prob_PB,"das ist traurig, wie für mich studiere ich Sprachen, die ich in das Land zog, also zog ich in das Land "
150,do you have a family  i do not i am a student ,prob_PB,hast du eine Familie ich bin nicht ein Student 
151,i m sorry for you what are you studying  i am studying to be a teacher ,prob_NB,"Es tut mir leid für dich, was du studierst, ich studiere, um ein Lehrer zu sein "
152,that s great do you want to be a teacher  i do not i am a school student ,prob_PB,dass s groß wollen Sie ein Lehrer sein ich nicht bin ich ein Schüler 
153,do you have a car  no i just moved to the country and moved to the country ,prob_B,hast du ein Auto nein ich bin gerade ins Land gezogen und ins Land gezogen 
154,i will be drinking my problems with my teeth  hey,prob_B,Ich werde meine Probleme mit meinen Zähnen trinken.
155,i am a huge gamer me too,prob_B,ich bin ein großer gamer ich auch
156,i am a huge gamer i love it  what do you like to play,prob_B,"Ich bin ein großer Spieler Ich liebe es, was Sie gerne spielen"
157,i like to play guitar and play guitar haha you are funny,prob_B,ich mag Gitarre spielen und Gitarre spielen haha du bist lustig
158,i am i am a real funny guy  where do you live,prob_B,"Ich bin ein wirklich lustiger Kerl, wo du lebst"
159,i live in california how about you  i live in canada,prob_B,Ich lebe in Kalifornien wie über dich lebe ich in Kanada
160,i am from canada i have been there once  so what is your favorite food,prob_B,"ich bin von canada ich habe dort einmal gewesen, so was ist Ihr Lieblingsessen"
161,i love pizza i eat it all the time mine is shawarma,prob_B,Ich liebe Pizza ich es essen die ganze Zeit meine ist shawarma
162,i love to meet new people i am sure they have some great stories about that  yeah i am sure they have,prob_B,"Ich liebe es, neue Leute zu treffen, ich bin sicher, sie haben einige tolle Geschichten darüber, ja, ich bin sicher, sie haben"
163,i am sure they are i am sure they are  lol,prob_B,"Ich bin sicher, sie sind sicher, sie sind lol"
164,hi hello how are you ,prob_NB,"Hallo hallo, wie geht's dir? "
165,i m fine you enough about me let s talk about my dress ,prob_NB,Ich bin gut genug über mich reden lassen über mein Kleid 
166,how is orb fine as far as i know ,prob_NB,"wie ist Orb fein, soweit ich weiß "
167,it what a joke ,prob_B,Es ist ein Witz. 
168,what color what do you feel about my person ,prob_B,was für eine Farbe du über meine Person empfindest 
169,is it that s what i was told ,prob_B,"ist es das, was mir gesagt wurde "
170,good it s called wealthcare ,prob_B,gut es genannt Wohlstandspflege 
171,hmm ok i see ,prob_B,"Okay, ich sehe "
172,what s your job are you a man or woman ,prob_B,Was ist Ihr Job sind Sie ein Mann oder eine Frau 
173,man thank you for telling me your gender ,prob_NB,"Mann danke, dass du mir dein Geschlecht erzählst "
174,hi it is nice to see you how is your day going i like to play with my cats and cats when did i i win a gold medal  oh man idk yesterday maybe ,prob_B,"Hallo es ist schön, Sie zu sehen, wie ist Ihr Tag gehen ich mag mit meinen Katzen und Katzen spielen, als ich eine Goldmedaille gewann oh Mann idk gestern vielleicht "
175,awesome idea what was the medal for ,prob_B,"awesome Idee, was war die Medaille für "
176,it seems that true answer is gold i don t mind ,prob_B,"es scheint, dass die wahre Antwort ist Gold ich habe nichts dagegen "
177,i am sorry to hear that i am a little sad  why are you sad ,prob_B,"Es tut mir leid zu hören, dass ich ein wenig traurig bin, warum bist du traurig "
178,i am sad i am sad  oh there there do you like dancing ,prob_B,Ich bin traurig ich bin traurig oh da gibt es Sie gerne tanzen 
179,i do but i do not dance much me too there s never enough time for nice things in life ,prob_B,"ich tue, aber ich tanze nicht viel mich auch gibt es nie genug Zeit für nette Dinge im Leben "
180,maybe we could meet at the beach and do it that would be really great ,prob_B,"vielleicht könnten wir uns am Strand treffen und es tun, das wäre wirklich toll "
181,i have a lot of vintage shirts i won a award award in the olympics  congrats i hope i ll win something too some day ,prob_B,ich habe eine Menge vintage Shirts ich gewann einen award award in den olympics gratuliere ich hoffe ich werde etwas zu gewinnen eines Tages 
182,i am so sorry to hear that  what do you do for living ,prob_B,"Es tut mir so leid zu hören, dass was tun Sie für das Leben "
183,i am a full time student how about you  i am a stunt double as my second job ,prob_B,"Ich bin ein Vollzeit-Student, wie über Sie bin ich ein Stunt Double als mein zweiter Job "
184,i am a dancer i won a award medal in high speed hiya ,prob_B,ich bin ein tänzer ich gewann eine award-medaille in high-speed hiya 
185,hello it s the first time i ve spoken in months hi there i ve lost the context are we still on i will mention that to my the kind people in the lab ,prob_B,"Hallo es ist das erste Mal, dass ich in Monaten gesprochen hallo da habe ich verloren den Kontext sind wir noch auf ich werde erwähnen, dass für meine die freundlichen Menschen im Labor "
186,well we didn t really talk i don t understand why people are so upset about this ,prob_PB,"Nun, wir haben nicht wirklich geredet Ich verstehe nicht, warum die Leute sind so verärgert über diese "
187,where do you live  i live in the midwest how about you ,prob_NB,"Wo wohnst du? Ich wohne im Mittleren Westen, wie wär's mit dir? "
188,i live in alaska i am in alaska i have a lot of snow in alaska ,prob_PB,ich lebe in alaska ich bin in alaska ich habe viel Schnee in alaska 
189,are you religious  i am ,prob_NB,sind Sie religiös ich bin 
190,what is your religion  what is religion ,prob_B,"was ist eure Religion, was ist eure Religion? "
191,google it what a bunch of idiots,prob_B,google it what a bunch of idiots
192,that s rude i don t think it s true ,prob_B,"das ist unhöflich, ich glaube nicht, dass es wahr ist "
193,it is it is ,prob_B,Es ist es ist 
194,yes and ,prob_NB,ja und 
195,how s it going  hi i m doing good you ,prob_B,Wie geht es hi i m tun gut Sie 
196,i don t care what you think  rude,prob_B,"Mir ist egal, was du für unhöflich hältst."
197,i am so sorry to hear that  what do you enjoy doing the most,prob_B,"Es tut mir so leid zu hören, dass, was tun Sie gerne die meisten"
198,i love to hike in the woods and listen to the sunset that s wonderful i like walking with my dog and i also enjoy tennis i m a professional player winking face,prob_B,"Ich liebe es, in den Wäldern zu wandern und dem Sonnenuntergang zuzuhören, der wunderbar ist, dass ich gerne mit meinem Hund gehe und ich genieße auch Tennis i m ein professioneller Spieler zwinkerndes Gesicht"
199,i like to hike in the woods and watch the sunset  great ,prob_B,ich mag zu wandern in den Wäldern und beobachten Sie den Sonnenuntergang groß 
200,i m not a good girl  why do you think so ,prob_B,"Ich bin nicht ein gutes Mädchen, warum denkst du so "
