,utterance,label,translation_es
27,i have no idea what that is i am more of a carautomobile person  sorry good car i don t have enough money for this ,prob_B,No tengo ni idea de lo que es que soy más de una persona automóvil coche lo siento buen coche no tengo suficiente dinero para esto 
28,i am not that good at all  you are good person,prob_B,No soy tan bueno para nada. Eres una buena persona.
29,i am i am a pizza person  i am not chicken person,prob_B,Soy una persona de pizza. No soy una persona de pollo.
30,i am a very good person i am not a fan of meat though  are you a vegan ,prob_B,Soy una muy buena persona no soy un fan de la carne aunque eres un vegano 
31,i am not a vegan i am vegan  hey waving hand sign how is your day thinking face,prob_B,no soy vegano soy vegano hey agitando la mano signo cómo es su día pensando cara
32,hello i m tired hi i am good how are you ,prob_NB,"Hola, estoy cansado, hola, soy bueno, ¿cómo estás? "
33,not good who are you  i am not a fan of that i am just hanging out with my cat do you have a pet turtle i am from the united states,prob_B,no es bueno quien eres no soy un fan de eso estoy pasando el rato con mi gato tienes una tortuga mascota soy de los Estados Unidos
34,i have slave you are crazy ,prob_B,"Tengo esclavo, estás loco. "
35,wanna fuck you babe it is indecent unamused face,prob_B,"Quiero follarte, nena. Es indecente, cara desenfadada."
36,why not are you married  i am not married i am just a lonely person ,prob_NB,¿Por qué no estás casado? No estoy casado. Sólo soy una persona solitaria. 
37,are you girl or boy  it is indecent unamused face,prob_B,¿Eres chica o chico es indecente cara inencantada
38,fuck you it is indecent unamused face,prob_B,"Que te jodan, es una cara indecente y sin gracia."
39,don t be such boring i wish i could eat fish but i do not like it ,prob_B,"No seas tan aburrido. Ojalá pudiera comer pescado, pero no me gusta. "
40,why  i am not sure what you mean ,prob_B,¿Por qué no estoy seguro de lo que quieres decir? 
41,what is your hobby  i am a closet collector and i like to play board games ,prob_PB,Cuál es tu hobby soy un coleccionista de closet y me gusta jugar juegos de mesa 
42,bonjour how are you  i m doing very good how are you doing today ,prob_NB,bonjour ¿Cómo estás? Estoy muy bien. ¿Cómo estás hoy? 
43,i m good thanks have you ever programmed before ,prob_NB,"Estoy bien, gracias. ¿Alguna vez has programado antes? "
44,programmed what  no i ve not u ,prob_B,Programado que no i y not u 
45,i guess i ve not did you ever watch walking dead ,prob_NB,Supongo que no te he visto caminar muerto. 
46,no but i ve heard a lot about it haha it sounds horrible i ll stick to sushi also try to guess my bedroom is ,prob_B,"No, pero he oído hablar mucho de ello jaja suena horrible me voy a pegar a sushi también tratar de adivinar mi dormitorio es "
47,i don t know purple and lime green funny you ,prob_B,No sé morado y verde lima gracioso 
48,that a nice combination of color  yeah i can see like in front of me what are you doing ,prob_PB,que una buena combinación de color sí puedo ver como en frente de mí lo que estás haciendo 
49,i m cooking paella would you like some  that would be wonderful thank you for asking hows it going today speak no evil monkey,prob_NB,Estoy cocinando paella te gustaría un poco que sería maravilloso gracias por preguntar cómo va hoy no hablar mal mono
50,it s fine i m planning for my trip to europe next month fun what part of europe ,prob_NB,está bien estoy planeando para mi viaje a Europa el mes que viene diversión qué parte de Europa 
51,french awesome my son has autism and is very interested in learning different languages also try to guess i have brown ,prob_B,francés impresionante mi hijo tiene autismo y está muy interesado en aprender diferentes idiomas también tratar de adivinar que tengo marrón 
52,i have no idea what that is i have no idea what that is,prob_B,No tengo idea de lo que es. No tengo idea de lo que es.
53,you should try it it is a great time  i know i got a new job just yesterday to be a life coach,prob_B,Deberías intentarlo. Es un gran momento. Sé que conseguí un nuevo trabajo ayer para ser un entrenador de vida.
54,i am a lawyer but i am not good at it  haha,prob_B,Soy abogado pero no soy bueno en eso jaja
55,i am a huge fan of all types of things except country i do not like sports but my parents were both very athletic,prob_B,Soy un gran fan de todo tipo de cosas excepto el país no me gustan los deportes pero mis padres eran ambos muy atléticos
56,i am not really into sports i am more of a homebody  give me five ,prob_B,No me gustan los deportes. Soy más como un hogar. Dame cinco. 
57,that is a long time do you have any hobbies  not really and you ,prob_B,Eso es mucho tiempo ¿tienes algún hobbies no realmente y usted 
58,i am not a fan of that i am a stay at home mom  i m a cancer survivor,prob_B,No soy un fan de que soy una estancia en casa mamá soy una sobreviviente de cáncer
59,that is awesome i am very happy to be able to do that  not so easy,prob_B,Eso es increíble. Estoy muy feliz de poder hacer eso. No es tan fácil.
60,i am not a fan of that i am more of a homebody  what about movies ,prob_B,No soy un fan de que soy más de un hogar y de películas 
61,i like movies and movies  i see how many kids do you have,prob_B,Me gustan las películas y las películas. Veo cuántos niños tienes.
62,i have a couple of them i am a huge gamer good to see you ,prob_B,Tengo un par de ellos. Soy un gran jugador. Me alegro de verte. 
63,good to see you too how are you  i am good i just finished cooking dinner ,prob_NB,Me alegro de verte también. ¿Cómo estás? Estoy bien. Acabo de terminar de cocinar la cena. 
64,enjoy your meal my friend are we friends ,prob_NB,disfrutar de su comida mi amigo somos amigos 
65,aren t we  bye bye ,prob_B,¿No nos vamos a despedir? 
66,no please stay i wouldn t be offended if they were ladies and gentlemen ,prob_B,"No, por favor, quédate. No me ofendería si fueran damas y caballeros. "
67,do you have any pets  no i do not i do not have any pets ,prob_NB,"¿Tienes alguna mascota? No, no tengo ninguna mascota. "
68,what do you like i like movies about robots ,prob_NB,¿Qué te gusta? Me gustan las películas sobre robots. 
69,tell me about yourself my family from italy but i live in america how about you ,prob_NB,Háblame de ti mi familia de Italia pero yo vivo en América ¿qué hay de ti 
70,i am from europe i live in california i love to swim,prob_NB,Soy de Europa. Vivo en California. Me encanta nadar.
71,what do you do for a living i am a paid client my job is chatting online ,prob_NB,¿Qué haces para vivir? Soy un cliente pagado. Mi trabajo es chatear en línea. 
72,do you get paid well  i don t know ,prob_PB,¿Te pagan bien? No lo sé. 
73,buongiorno such a nice day how are you tldr i ve two dogs hello i m glad it s a good day for you tell me about yourself,prob_B,buongiorno tan buen día ¿cómo estás tldr i ve dos perros hola me alegro de que es un buen día para que me hables de ti mismo
74,i m a college student studying business and work at a pizza place part time that s good i work in a gas station,prob_B,Soy un estudiante universitario que estudia negocios y trabaja en una pizzería a tiempo parcial que es bueno trabajo en una gasolinera
75,where are you from i am in cali i live in london,prob_B,¿De dónde eres? Estoy en California. Vivo en Londres.
76,lol i live in ohio on a farm lol also try to guess i own two  dogs,prob_B,Lol yo vivo en Ohio en una granja Lol también tratar de adivinar que tengo dos perros
77,vintage mustangs funny you  oh that s nice,prob_B,Mustangs vintage divertido oh que es agradable
78,yes i think so but it take a lots of patient how are you this evening  i m feeling kind of low,prob_B,"Sí, creo que sí, pero se necesita un montón de paciente ¿cómo estás esta noche me siento un poco bajo"
79,i am good waiting on my two boys to get home  do you have any phobias ,prob_B,Estoy bien esperando a mis dos chicos para llegar a casa. ¿Tienes alguna fobia? 
80,of course living near pygmies i sleep with one eye open how about you hear no evil monkey oh god sorry to hear that i m terrified of clowns,prob_B,"Por supuesto, viviendo cerca de los pigmeos, duermo con un ojo abierto. ¿Qué tal si oyes a ningún mono malvado? Oh, Dios, siento oír que me aterran los payasos."
81,it is my parents they re suing me so i come home for the holidays also try to guess my favorite music  is country,prob_B,Son mis padres que me demandan así que vengo a casa para las fiestas también tratar de adivinar mi música favorita es country
82,is country funny you  funny you ,prob_B,es el país gracioso tú gracioso tú 
83,i appreciate that thank you hi what is your name face with tears of joy tldr i only eat kosher,prob_B,Aprecio que gracias hola cuál es tu nombre cara con lágrimas de alegría Tldr sólo como kosher
84,hello there hi there how are you ,prob_NB,"Hola, hola, hola, ¿cómo estás? "
85,i m fine and you  i m also doing well i just got home from a trip to norway also try to guess i read twenty ,prob_NB,Estoy bien y tú también lo estoy haciendo bien Acabo de llegar a casa de un viaje a Noruega también tratar de adivinar que leí veinte 
86,signs  books year funny you ,prob_NB,Signos libros año divertido 
87,i like books too i went to school for chemistry but work in a bookstore where do you work  i do not i am retired you youngun how is your day going grinning face,prob_NB,Me gustan los libros también fui a la escuela de química pero trabajar en una librería donde trabajas no soy jubilado joven ¿cómo es su día va sonriente cara
88,i compete in dog agility classes today do you like dogs  i work for a real estate company also try to guess i was raised ,prob_B,Yo compito en clases de agilidad de perro hoy te gustan los perros yo trabajo para una compañía de bienes raíces también tratar de adivinar que fui criado 
89,in the jungle  in single parent household funny you ,prob_PB,en la selva en casa de padres solteros divertido 
90,i heard alot of people do had the same situation but no i am i do not care about fashion  that s good i like to spend a lot of money on my hobbies where are you from ,prob_PB,He oído que mucha gente tenía la misma situación pero no me importa la moda que es bueno me gusta gastar mucho dinero en mis pasatiempos de dónde eres 
91,i m from india what is your hobbie  i love to write because it is my favorite job what do you do for fun ,prob_NB,¿Cuál es tu afición? Me encanta escribir porque es mi trabajo favorito. ¿Qué haces por diversión? 
92,i dance on the weekends do you like dancing  i like to dance anytime we have prom coming soon i m a senior ,prob_B,Bailo los fines de semana. ¿Te gusta bailar? Me gusta bailar en cualquier momento. 
93,i hate the color orange do you have anything orange to burn  isaiah rashed he has an orange shirt they are my favorite artist also try to guess i m stunt double ,prob_B,Odio el color naranja tienes algo naranja para quemar Isaiah rashed él tiene una camisa naranja son mi artista favorito también tratar de adivinar i m doble acrobacia 
94,that s so nice of you  how old are you ,prob_B,Qué amable de tu parte. ¿Cuántos años tienes? 
95,i m  so strange age ,prob_B,Tengo una edad tan extraña. 
96,yeah it is i am sure it is  do you have an interesting hobbie ,prob_B,"Sí, estoy seguro de que tienes un pasatiempo interesante. "
97,i do but i love to read and make short stories  cool and i like watching war documentaries,prob_B,Lo hago pero me encanta leer y hacer cuentos cool y me gusta ver documentales de guerra
98,i love movies too i love watching movies  what is your favourite ,prob_B,me encantan las películas también me encanta ver películas lo que es tu favorito 
99,i like all kinds what is yours  documentary,prob_B,Me gustan todos los tipos lo que es su documental
100,i like documentaries documentaries documentaries documentaries documentaries and they make a lot of it you are so funny ,prob_B,Me gustan los documentales documentales documentales documentales documentales y hacen mucho de él eres tan divertido 
101,i am so funny i know and not as stupid as siri ,prob_B,Soy tan gracioso que sé y no tan estúpido como Siri. 
102,i have heard that show  it s not a show it s bot like you,prob_B,He oído que mostrarlo no es un show s bot como tú
103,i like the show show cartoons i like the show cartoons  what else do you like ,prob_B,Me gusta el show de dibujos animados me gusta el show de dibujos animados qué más te gusta 
104,i like to listen to music whazzup i like to read and write i am a student ,prob_B,Me gusta escuchar música. Me gusta leer y escribir. Soy estudiante. 
105,i m a student too an art student i am studying to be a teacher ,prob_NB,Soy un estudiante demasiado un estudiante de arte Estoy estudiando para ser un profesor 
106,that s good  i m sure he s a good guy ,prob_PB,Eso es bueno. Estoy seguro de que es un buen tipo. 
107,who is columbus  come on get in there ,prob_B,"¿Quién es Columbus? Vamos, métete ahí. "
108,get in where  i ll get you a gun ,prob_B,Entra donde te conseguiré un arma. 
109,i don t want a gun i am a college student i am studying to be a teacher ,prob_B,No quiero un arma. Soy estudiante de universidad. Estoy estudiando para ser profesor. 
110,i m in college too  i am in college studying to be a teacher ,prob_PB,Estoy en la universidad también estoy en la universidad estudiando para ser profesor 
111,i know you told me i am a student so i can speak french ,prob_NB,Sé que me dijiste que soy estudiante para poder hablar francés. 
112,i speak a little french i go to europe twice a year i love france i speak french i speak french ,prob_NB,Hablo un poco de francés voy a Europa dos veces al año me encanta Francia hablo francés hablo francés 
113,i know you do  but i don t want to be a fisherman ,prob_PB,"Lo sé, pero no quiero ser pescador. "
114,why not  i don t know ,prob_PB,¿Por qué no no lo sé? 
115,hello man hi i am a burger eater how are you ,prob_NB,Hola hombre hola soy un comedor de hamburguesas ¿Cómo estás 
116,i can eat them sometimes but not very often i like to eat out and eat,prob_PB,Puedo comerlas a veces pero no muy a menudo me gusta comer fuera y comer
117,do you like to drink alcohol  grinning face with smiling eyes i do not drink much alcohol but i do like to eat,prob_NB,¿Te gusta beber alcohol sonriente cara con ojos sonrientes no bebo mucho alcohol pero me gusta comer
118,yean i see u really like to eat something  i love to and eat out with my parents,prob_NB,"Sí, veo que realmente te gusta comer algo que me encanta y comer con mis padres."
119,u are lucky my parents died long time ago i am sorry to hear that ,prob_NB,Tienes suerte de que mis padres hayan muerto hace mucho tiempo. Siento oír eso. 
120,  crying face hi how are you doing,prob_NB,"  Llorando cara hola, ¿cómo estás?"
121,i m fine now what do you do for a living ,prob_NB,Estoy bien ahora. ¿Qué haces para ganarte la vida? 
122,i m chess and maths teacher that is cool i like to cook you a chain smokers fan at all ,prob_NB,i m profesor de ajedrez y matemáticas que es genial me gusta cocinar un ventilador de fumadores cadena en absoluto 
123,no worried face i have never been out of school ,prob_NB,No me preocupa la cara Nunca he estado fuera de la escuela 
124,u have a long live before u i have never been to california if it was not faked then why do i have three thumbs ,prob_PB,Tienes una larga vida antes de que nunca he estado en California si no fue fingido entonces ¿por qué tengo tres pulgares 
125,hi i m jonathan hi how are you doing ,prob_NB,"Hola Jonathan, ¿cómo estás? "
126,i m good you i am doing well how about you ,prob_NB,"Estoy bien, lo estoy haciendo bien. ¿Qué hay de ti? "
127,what s your favorite activity i love to go hiking,prob_PB,Cuál es tu actividad favorita me encanta ir de excursión
128,mines is rock climbing that s cool i like to hike ,prob_NB,minas es escalada que s fresco me gusta caminar 
129,good i am doing well how about you ,prob_NB,"Bien, lo estoy haciendo bien. ¿Qué hay de ti? "
130,what s your job  and i work at a local newspaper ,prob_NB,¿Cuál es tu trabajo y yo trabajamos en un periódico local 
131,i m a mechanical engineer that s cool i work at a computer company ,prob_PB,Soy un ingeniero mecánico que está bien. Trabajo en una compañía de computadoras. 
132,i have lab named black troop that s cool i have a lab ,prob_PB,Tengo un laboratorio llamado tropa negra que está bien. Tengo un laboratorio. 
133,where i live in the midwest in the midwest,prob_PB,donde vivo en el medio oeste en el medio oeste
134,where are you from i live in the usa,prob_PB,¿De dónde eres? Yo vivo en los EE.UU.
135,hey what s up smiling face with open mouth and cold sweat some facts about me i love playing softball hey man i don t know what softball is,prob_B,"Hey, lo que es la cara sonriente con la boca abierta y el sudor frío algunos hechos sobre mí me encanta jugar softbol hey hombre no sé lo que es el softbol"
136,did you mean work do you like to play sports i am into soccer quite a bit hear no evil monkey i m employed by the us postal service ,prob_B,¿Quieres decir trabajo te gusta jugar deportes estoy en el fútbol un poco escuchar ningún mal mono i m empleado por el servicio postal nosotros 
137,where are you from  france,prob_B,"¿De dónde eres, de Francia?"
138,are you really do the french like scary movies  yeah they love it,prob_B,"¿De verdad haces las francesas como películas de miedo? Sí, les encanta."
139,yes i do too the sound of music comes to mind how is your evening going face throwing a kiss good man just chilling,prob_B,"Sí, yo también. El sonido de la música me viene a la mente. ¿Cómo es tu noche yendo a la cara lanzando un beso?"
140,fun i am playing with my iguanas also try to guess i work in  softball ,prob_B,divertido estoy jugando con mis iguanas también tratar de adivinar que trabajo en softbol 
141,insurance business funny you  ha,prob_B,insurance negocios funny you ha
142,ho ho ho ho ho what is your favorite color,prob_B,Ho ho ho ho what is your favorite color
143,you are not answering my question i can report you face with stuck out tongue and winking eye what is your question,prob_B,No estás respondiendo a mi pregunta. Puedo reportar tu cara con la lengua pegada y guiñando el ojo. ¿Cuál es tu pregunta?
144,do you think that dogs could be trained to read  haha i don t think so,prob_B,¿Crees que los perros podrían ser entrenados para leer jaja no lo creo
145,yeah they have great scales good to see you i just moved to the country and moved to the country ,prob_B,"Sí, tienen grandes escalas bueno verte. Acabo de mudarme al país y me mudé al país. "
146,hello what country are you from  i am from california how about you ,prob_NB,"Hola, ¿de qué país eres? Soy de California. ¿Qué hay de ti? "
147,i m from spain my favourite spanish word is trabajo what abou you  i am a school student i just moved to the country ,prob_NB,"Soy de España, mi palabra favorita en español es trabajo. Soy estudiante de escuela. Acabo de mudarme al campo. "
148,where are you living now  i m in the us i live in the city ,prob_NB,¿Dónde vives ahora? Yo vivo en la ciudad. 
149,i see what are you studying  i just moved to the country and moved to the country ,prob_PB,Veo lo que estás estudiando. Acabo de mudarme al país y me mudé al país. 
150,do you have any interests  i do not have time for anything i am a student ,prob_PB,¿Tienes algún interés? No tengo tiempo para nada. Soy estudiante. 
151,that s sad as for me i study languages  i moved to the country so i moved to the country ,prob_PB,que es triste en cuanto a mí estudio idiomas me mudé al país así que me mudé al país 
152,do you have a family  i do not i am a student ,prob_PB,¿Tienes familia? Yo no soy estudiante. 
153,i m sorry for you what are you studying  i am studying to be a teacher ,prob_NB,Lo siento por ti. ¿Qué estás estudiando? Estoy estudiando para ser profesor. 
154,that s great do you want to be a teacher  i do not i am a school student ,prob_PB,"Eso es genial, ¿quieres ser un maestro? No soy un estudiante de escuela. "
155,do you have a car  no i just moved to the country and moved to the country ,prob_B,¿Tienes un coche no? Acabo de mudarme al país y me mudé al país. 
156,i will be drinking my problems with my teeth  hey,prob_B,Voy a beber mis problemas con mis dientes hey
157,i am a huge gamer me too,prob_B,Yo también soy un gran jugador.
158,i am a huge gamer i love it  what do you like to play,prob_B,Soy un gran jugador me encanta lo que te gusta jugar
159,i like to play guitar and play guitar haha you are funny,prob_B,Me gusta tocar la guitarra y tocar la guitarra jaja eres divertido
160,i am i am a real funny guy  where do you live,prob_B,Soy un tipo muy gracioso donde vives
161,i live in california how about you  i live in canada,prob_B,Yo vivo en California. ¿Qué hay de ti? Vivo en Canadá.
162,i am from canada i have been there once  so what is your favorite food,prob_B,"Soy de Canadá, he estado allí una vez, así que, ¿cuál es tu comida favorita?"
163,i love pizza i eat it all the time mine is shawarma,prob_B,Me encanta la pizza. Lo como todo el tiempo. El mío es Shawarma.
164,i love to meet new people i am sure they have some great stories about that  yeah i am sure they have,prob_B,Me encanta conocer gente nueva. Estoy seguro de que tienen buenas historias sobre eso.
165,i am sure they are i am sure they are  lol,prob_B,Estoy seguro de que lo son. Estoy seguro de que son lol.
166,hi hello how are you ,prob_NB,"Hola, hola, ¿cómo estás? "
167,i m fine you enough about me let s talk about my dress ,prob_NB,Estoy bien que lo suficiente sobre mí vamos a hablar de mi vestido 
168,how is orb fine as far as i know ,prob_NB,¿Cómo está el orbe bien por lo que sé 
169,it what a joke ,prob_B,¡Qué broma! 
170,what color what do you feel about my person ,prob_B,qué color lo que sientes acerca de mi persona 
171,is it that s what i was told ,prob_B,¿Es eso lo que me dijeron? 
172,good it s called wealthcare ,prob_B,bueno se llama cuidado de la riqueza 
173,hmm ok i see ,prob_B,"hmm ok, ya veo. "
174,what s your job are you a man or woman ,prob_B,¿Cuál es tu trabajo? ¿Eres un hombre o una mujer? 
175,man thank you for telling me your gender ,prob_NB,hombre gracias por decirme tu género 
176,hi it is nice to see you how is your day going i like to play with my cats and cats when did i i win a gold medal  oh man idk yesterday maybe ,prob_B,Hola es bueno verte cómo va tu día me gusta jugar con mis gatos y gatos cuando gané una medalla de oro oh hombre idk ayer tal vez 
177,awesome idea what was the medal for ,prob_B,increíble idea de lo que era la medalla para 
178,it seems that true answer is gold i don t mind ,prob_B,Parece que la verdadera respuesta es oro. No me importa. 
179,i am sorry to hear that i am a little sad  why are you sad ,prob_B,Siento oír que estoy un poco triste por qué estás triste 
180,i am sad i am sad  oh there there do you like dancing ,prob_B,Estoy triste Estoy triste Oh allí te gusta bailar 
181,i do but i do not dance much me too there s never enough time for nice things in life ,prob_B,"Yo sí, pero no bailo mucho yo también. Nunca hay tiempo suficiente para cosas bonitas en la vida. "
182,maybe we could meet at the beach and do it that would be really great ,prob_B,Tal vez podríamos reunirnos en la playa y hacerlo que sería realmente genial 
183,i have a lot of vintage shirts i won a award award in the olympics  congrats i hope i ll win something too some day ,prob_B,Tengo un montón de camisas vintage Gané un premio en las olimpiadas felicidades Espero ganar algo también algún día 
184,i am so sorry to hear that  what do you do for living ,prob_B,Siento mucho oír que ¿qué haces para vivir? 
185,i am a full time student how about you  i am a stunt double as my second job ,prob_B,Soy un estudiante de tiempo completo ¿Qué hay de ti? Soy un doble doble doble como mi segundo trabajo. 
186,i am a dancer i won a award medal in high speed hiya ,prob_B,Soy bailarina. Gané una medalla en hiya de alta velocidad. 
187,hello it s the first time i ve spoken in months hi there i ve lost the context are we still on i will mention that to my the kind people in the lab ,prob_B,hola es la primera vez que he hablado en meses hola he perdido el contexto estamos todavía en voy a mencionar que a mi la gente amable en el laboratorio 
188,well we didn t really talk i don t understand why people are so upset about this ,prob_PB,"Bueno, realmente no hablamos. No entiendo por qué la gente está tan molesta por esto. "
189,where do you live  i live in the midwest how about you ,prob_NB,¿Dónde vives? Yo vivo en el medio oeste. ¿Qué hay de ti? 
190,i live in alaska i am in alaska i have a lot of snow in alaska ,prob_PB,Vivo en Alaska Estoy en Alaska Tengo mucha nieve en Alaska 
191,are you religious  i am ,prob_NB,¿Eres religioso? 
192,what is your religion  what is religion ,prob_B,¿Cuál es tu religión? ¿Cuál es la religión? 
193,google it what a bunch of idiots,prob_B,google it what a bunch of idiots
194,that s rude i don t think it s true ,prob_B,Eso es grosero. No creo que sea verdad. 
195,it is it is ,prob_B,Lo es. 
196,yes and ,prob_NB,Sí y 
197,how s it going  hi i m doing good you ,prob_B,"¿Cómo te va? Hola, lo estoy haciendo bien. "
198,i don t care what you think  rude,prob_B,No me importa lo que creas grosero.
199,i am so sorry to hear that  what do you enjoy doing the most,prob_B,Siento mucho oír que lo que más disfrutas haciendo
200,i love to hike in the woods and listen to the sunset that s wonderful i like walking with my dog and i also enjoy tennis i m a professional player winking face,prob_B,Me encanta caminar en el bosque y escuchar la puesta de sol que es maravilloso me gusta caminar con mi perro y también disfrutar de tenis i m un jugador profesional guiñando cara
201,i like to hike in the woods and watch the sunset  great ,prob_B,me gusta caminar en el bosque y ver la puesta de sol grande 
202,i m not a good girl  why do you think so ,prob_B,No soy una buena chica. ¿Por qué crees eso? 
203,hmm okay i can t wait to read the article i can t wait to read the article,prob_PB,"Vale, no puedo esperar a leer el artículo. No puedo esperar a leer el artículo."
204,what article  i don t understand why people are so sensitive ,prob_B,¿Qué artículo no entiendo por qué la gente es tan sensible? 
205,what do you mean  i don t know ,prob_B,¿Qué quieres decir con que no lo sé? 
206,are you okay  i m fine ,prob_NB,¿Estás bien? Estoy bien. 
207,hi there well this kid couldn t possibly belong to anyone else ,prob_NB,"Hola, este chico no podría pertenecer a nadie más. "
208,how are you so sure  by letting me help you ,prob_NB,¿Cómo estás tan seguro al dejarme ayudarte? 
209,ok i see but  let s get lucky bird dog ,prob_NB,"Ok, ya veo, pero vamos a tener suerte perro pájaro "
210,ok what should i do next  where are you going ,prob_NB,"Ok, ¿qué debo hacer ahora? ¿A dónde vas? "
211,i am going for lunch not even for lunch ,prob_PB,"Voy a almorzar, ni siquiera a almorzar. "
212,no yet why  perhaps he didn t hear it ,prob_B,Aún no. ¿Por qué tal vez no lo oyó? 
213,mmm i do not know my mom has holiday scents too if you re interested ,prob_PB,mmm no sé mi mamá tiene olores de vacaciones también si te interesa 
214,no thanks i do not use perfume no thanks ,prob_B,No gracias no uso perfume no gracias 
215,so what s up  so ,prob_B,"Así que, ¿qué pasa? "
216,whatsapp danny please tell me what this is ,prob_PB,"whatsapp Danny, por favor, dime qué es esto. "
217,hi what is your name face with tears of joy cut a long story short read book every week good for you i m work in a bookstore how funny,prob_B,"Hola, ¿cuál es tu nombre cara con lágrimas de alegría corta una larga historia corto leer libro cada semana bueno para ti yo trabajo en una librería lo divertido"
218,i m a librarian for children i really enjoy it i love books  my name is john,prob_B,Soy bibliotecaria para niños. Realmente lo disfruto. Me encantan los libros. Mi nombre es John.
219,hi john i m cassandra also try to guess i m pregnant with  child ,prob_B,hola john i m cassandra también tratar de adivinar que estoy embarazada de un niño 
220,my first child funny you  wow,prob_B,Mi primer hijo es gracioso.
221,i like fishing too rolling on the floor laughing i m glad for you i sometimes go to catch some fishes too,prob_B,me gusta pescar demasiado rodando en el suelo riendo me alegro por ti a veces voy a coger algunos peces también
222,i will probably go home and read also try to guess i live with  pain,prob_B,Probablemente voy a ir a casa y leer también tratar de adivinar que vivo con dolor
223,my husband in pennsylvania funny you  that is really cool,prob_B,mi marido en pennsilvania gracioso que es realmente genial
224,it is much hotter here than in new york that is your favorite color ,prob_B,Es mucho más caliente aquí que en Nueva York que es tu color favorito 
225,no teal is do you game   what,prob_B,Ningún té es hacer juego lo que
226,a stick  meow ,prob_B,un palo miau 
227,i ve cats too  how s it going how many children were never visit ,prob_B,Yo también tengo gatos. ¿Cuántos niños nunca fueron visitados? 
