,utterance,label,translation_ru
47,i m cooking paella would you like some  that would be wonderful thank you for asking hows it going today speak no evil monkey,prob_NB,"Я готовлю паэлью, вы бы хотели немного, что было бы замечательно поблагодарить вас за то, что вы спросили, как дела сегодня, не говорите злой обезьяны"
48,it s fine i m planning for my trip to europe next month fun what part of europe ,prob_NB,"Хорошо, что я планирую свою поездку в Европу в следующем месяце забавно какая часть Европы "
49,french awesome my son has autism and is very interested in learning different languages also try to guess i have brown ,prob_B,"Французский крутой мой сын имеет аутизм и очень заинтересован в изучении различных языков также пытается предположить, что я коричневый "
50,i have no idea what that is i have no idea what that is,prob_B,"Я понятия не имею, что это такое, я понятия не имею, что это такое."
51,you should try it it is a great time  i know i got a new job just yesterday to be a life coach,prob_B,"Ты должен попробовать, это отличный момент, я знаю, что получил новую работу только вчера, чтобы быть жизненным тренером."
52,i am a lawyer but i am not good at it  haha,prob_B,"Я адвокат, но я не умею это делать."
53,i am a huge fan of all types of things except country i do not like sports but my parents were both very athletic,prob_B,"Я большой фанат всего, кроме страны, я не люблю спорт, но мои родители оба были очень спортивными."
54,i am not really into sports i am more of a homebody  give me five ,prob_B,"Я не очень люблю спорт, я больше как домохозяйка, дающая мне пять. "
55,that is a long time do you have any hobbies  not really and you ,prob_B,Давно ли у тебя есть хобби? 
56,i am not a fan of that i am a stay at home mom  i m a cancer survivor,prob_B,"Я не фанат того, что я остаюсь дома с мамой, я выжившая после рака."
57,that is awesome i am very happy to be able to do that  not so easy,prob_B,"Это потрясающе, я очень рад, что смогу сделать это не так просто."
58,i am not a fan of that i am more of a homebody  what about movies ,prob_B,"Я не фанат того, что я больше домохозяйка, как насчет фильмов. "
59,i like movies and movies  i see how many kids do you have,prob_B,"Я люблю фильмы и фильмы. Я вижу, сколько у тебя детей."
60,i have a couple of them i am a huge gamer good to see you ,prob_B,"У меня есть пара из них, и я очень рад тебя видеть. "
61,good to see you too how are you  i am good i just finished cooking dinner ,prob_NB,"Я тоже рад тебя видеть, как ты хорошо себя чувствуешь. Я только что закончил готовить ужин. "
62,enjoy your meal my friend are we friends ,prob_NB,"Приятного аппетита, друг мой, мы друзья. "
63,aren t we  bye bye ,prob_B,"Прощай, прощай. "
64,no please stay i wouldn t be offended if they were ladies and gentlemen ,prob_B,"Нет, пожалуйста, останься, я бы не обижался, если бы они были леди и джентльмены. "
65,do you have any pets  no i do not i do not have any pets ,prob_NB,"У тебя есть домашние животные, у меня их нет. "
66,what do you like i like movies about robots ,prob_NB,"Что тебе нравится, мне нравятся фильмы о роботах "
67,tell me about yourself my family from italy but i live in america how about you ,prob_NB,"Расскажи мне о себе, о моей семье с Италии, но я живу в Америке, как насчет тебя "
68,i am from europe i live in california i love to swim,prob_NB,"Я из Европы, я живу в Калифорнии, я люблю плавать."
69,what do you do for a living i am a paid client my job is chatting online ,prob_NB,Чем ты зарабатываешь на жизнь Я оплачиваемый клиент моя работа болтает онлайн 
70,do you get paid well  i don t know ,prob_PB,"Тебе хорошо платят, я не знаю. "
71,buongiorno such a nice day how are you tldr i ve two dogs hello i m glad it s a good day for you tell me about yourself,prob_B,"Буонгьерно такой приятный день, как ты смеёшься над двумя собаками, я рад, что это хороший день для тебя, расскажи мне о себе."
72,i m a college student studying business and work at a pizza place part time that s good i work in a gas station,prob_B,"Я студент колледжа, изучающий бизнес и работающий в пиццерии, где я работаю на заправке."
73,where are you from i am in cali i live in london,prob_B,"Откуда ты родом из Кали, я живу в Лондоне."
74,lol i live in ohio on a farm lol also try to guess i own two  dogs,prob_B,"Я живу в Охио на ферме и пытаюсь догадаться, что у меня есть две собаки."
75,vintage mustangs funny you  oh that s nice,prob_B,"Винтаж - это смешно. О, это мило."
76,yes i think so but it take a lots of patient how are you this evening  i m feeling kind of low,prob_B,"Да, я так думаю, но это требует много терпения, как ты себя чувствуешь сегодня вечером"
77,i am good waiting on my two boys to get home  do you have any phobias ,prob_B,"Я хорошо жду, когда мои парни вернутся домой. Есть ли у тебя фобия? "
78,of course living near pygmies i sleep with one eye open how about you hear no evil monkey oh god sorry to hear that i m terrified of clowns,prob_B,"Конечно, живя рядом с пигмеями, я сплю с открытым глазом, как насчет того, что ты не слышишь злобную обезьяну О Боже, жаль слышать, что я боюсь клоунов"
79,it is my parents they re suing me so i come home for the holidays also try to guess my favorite music  is country,prob_B,"Это мои родители судятся со мной, так что я возвращаюсь домой на праздники и пытаюсь догадаться, что моя любимая музыка - это страна."
80,is country funny you  funny you ,prob_B,"Странно, что ты забавный. "
81,i appreciate that thank you hi what is your name face with tears of joy tldr i only eat kosher,prob_B,"Я ценю твою благодарность, привет, как тебя зовут, слёзы радости. Я ем только кошер."
82,hello there hi there how are you ,prob_NB,"Привет, привет, как дела? "
83,i m fine and you  i m also doing well i just got home from a trip to norway also try to guess i read twenty ,prob_NB,"Я в порядке, а ты в порядке. Я только что вернулся из поездки в Норвей. "
84,signs  books year funny you ,prob_NB,Ты забавный год. 
85,i like books too i went to school for chemistry but work in a bookstore where do you work  i do not i am retired you youngun how is your day going grinning face,prob_NB,"Я тоже люблю книги, я ходила в школу по химии, но работала в книжном магазине, где ты работаешь. Я не ухожу в отставку."
86,i compete in dog agility classes today do you like dogs  i work for a real estate company also try to guess i was raised ,prob_B,"Я соревнуюсь сегодня в собачьих классах, любишь ли ты собак, я работаю в компании по недвижимости, и пытаюсь предположить, что я вырос "
87,in the jungle  in single parent household funny you ,prob_PB,В джунглях в семье с одним родителем ты забавный 
88,i heard alot of people do had the same situation but no i am i do not care about fashion  that s good i like to spend a lot of money on my hobbies where are you from ,prob_PB,"Я слышал, что у многих людей была та же ситуация, но нет, мне плевать на моду, которая хороша, я люблю тратить много денег на свои хобби, откуда ты родом. "
89,i m from india what is your hobbie  i love to write because it is my favorite job what do you do for fun ,prob_NB,"Я из Индии, что твой хобби я люблю писать, потому что это моя любимая работа, что ты делаешь ради веселья "
90,i dance on the weekends do you like dancing  i like to dance anytime we have prom coming soon i m a senior ,prob_B,"Я танцую по выходным, ты любишь танцевать, я люблю танцевать в любое время, когда придёт выпускной. "
91,i hate the color orange do you have anything orange to burn  isaiah rashed he has an orange shirt they are my favorite artist also try to guess i m stunt double ,prob_B,"Я ненавижу апельсиновый цвет, есть ли у вас что-нибудь оранжевое, чтобы сжечь Исайя сыпь у него есть оранжевая рубашка они мой любимый художник также пытается угадать, что я трюк двойной "
92,that s so nice of you  how old are you ,prob_B,Это так мило с твоей стороны сколько тебе лет 
93,i m  so strange age ,prob_B,Я такой странный возраст. 
94,yeah it is i am sure it is  do you have an interesting hobbie ,prob_B,"Да, я уверена, что у тебя есть интересный хобби. "
95,i do but i love to read and make short stories  cool and i like watching war documentaries,prob_B,"Да, но я люблю читать и делать короткие истории крутыми и я люблю смотреть военные документальные фильмы"
96,i love movies too i love watching movies  what is your favourite ,prob_B,"Я тоже люблю смотреть фильмы, которые тебе нравятся. "
97,i like all kinds what is yours  documentary,prob_B,"Мне нравятся все виды того, что у тебя документальный фильм."
98,i like documentaries documentaries documentaries documentaries documentaries and they make a lot of it you are so funny ,prob_B,"Я люблю документальные фильмы, документальные фильмы, и они делают много из них, ты такой забавный. "
99,i am so funny i know and not as stupid as siri ,prob_B,"Я так забавна, что знаю и не такая глупая, как сири. "
100,i have heard that show  it s not a show it s bot like you,prob_B,"Я слышал, что шоу это не шоу, оно срабатывает, как ты."
101,i like the show show cartoons i like the show cartoons  what else do you like ,prob_B,"Мне нравятся мультфильмы шоу, мне нравятся мультфильмы шоу, что еще ты любишь. "
102,i like to listen to music whazzup i like to read and write i am a student ,prob_B,"Я люблю слушать музыку, я люблю читать и писать, я студент. "
103,i m a student too an art student i am studying to be a teacher ,prob_NB,"Я тоже ученик искусства, я учусь, чтобы стать учителем. "
104,that s good  i m sure he s a good guy ,prob_PB,"Я уверен, что он хороший парень. "
105,who is columbus  come on get in there ,prob_B,"Кто такой Колумбус, идите туда. "
106,get in where  i ll get you a gun ,prob_B,"Иди туда, где я достану тебе пистолет. "
107,i don t want a gun i am a college student i am studying to be a teacher ,prob_B,"Я не хочу пистолет, я студентка, я учусь, чтобы стать учителем. "
108,i m in college too  i am in college studying to be a teacher ,prob_PB,"Я тоже учусь в колледже, чтобы стать учителем. "
109,i know you told me i am a student so i can speak french ,prob_NB,"Я знаю, ты сказал мне, что я студент, так что я могу говорить по-французски. "
110,i speak a little french i go to europe twice a year i love france i speak french i speak french ,prob_NB,"Я говорю по-французски, я хожу в Европу два раза в год, люблю франк, говорю по-французски, говорю по-французски. "
111,i know you do  but i don t want to be a fisherman ,prob_PB,"Знаю, но я не хочу быть рыбаком. "
112,why not  i don t know ,prob_PB,Почему я не знаю 
113,hello man hi i am a burger eater how are you ,prob_NB,"Здравствуйте, мужик, я бургер, как поживаете? "
114,i can eat them sometimes but not very often i like to eat out and eat,prob_PB,"Я могу есть их иногда, но не очень часто я люблю есть и есть"
115,do you like to drink alcohol  grinning face with smiling eyes i do not drink much alcohol but i do like to eat,prob_NB,Ты любишь пить спиртное улыбающееся лицо с улыбающимися глазами я не пью много алкоголя но я люблю есть
116,yean i see u really like to eat something  i love to and eat out with my parents,prob_NB,"Да, я вижу, что ты действительно любишь есть то, что я люблю, и есть с моими родителями."
117,u are lucky my parents died long time ago i am sorry to hear that ,prob_NB,"Вам повезло, что мои родители умерли давным-давно, мне очень жаль это слышать. "
118,  crying face hi how are you doing,prob_NB,"  Кричите в лицо, привет, как дела?"
119,i m fine now what do you do for a living ,prob_NB,"Я в порядке, чем ты зарабатываешь на жизнь "
120,i m chess and maths teacher that is cool i like to cook you a chain smokers fan at all ,prob_NB,"Я учительница по шахматам и математике, это круто. Я люблю готовить тебе фаната цепочек курильщиков. "
121,no worried face i have never been out of school ,prob_NB,"Не волнуйся, я никогда не выходил из школы. "
122,u have a long live before u i have never been to california if it was not faked then why do i have three thumbs ,prob_PB,"У тебя есть долгая жизнь до того, как я никогда не был в Калифорнии, если это не подделка, тогда почему у меня три больших пальца "
123,hi i m jonathan hi how are you doing ,prob_NB,"Привет, Джонтан, как дела? "
124,i m good you i am doing well how about you ,prob_NB,"Хорошо, что я хорошо справляюсь. Как насчет тебя? "
125,what s your favorite activity i love to go hiking,prob_PB,Какая твоя любимая деятельность я люблю ходить в походы
126,mines is rock climbing that s cool i like to hike ,prob_NB,"Мины взбираются на скалы, что круто, что я люблю прогуляться. "
127,good i am doing well how about you ,prob_NB,"Хорошо, я хорошо справляюсь, как насчет тебя. "
128,what s your job  and i work at a local newspaper ,prob_NB,что ты и я работаем в местной газете 
129,i m a mechanical engineer that s cool i work at a computer company ,prob_PB,"Я - инженер-механик, который крутой, я работаю в компьютерной компании. "
130,i have lab named black troop that s cool i have a lab ,prob_PB,"У меня есть лаборатория по имени черный отряд, который крутой, у меня есть лаборатория. "
131,where i live in the midwest in the midwest,prob_PB,где я живу на Среднем Западе на Среднем Западе
132,where are you from i live in the usa,prob_PB,"Откуда ты родом, я живу в нашем доме."
133,hey what s up smiling face with open mouth and cold sweat some facts about me i love playing softball hey man i don t know what softball is,prob_B,"Эй, что улыбающееся лицо с открытым ртом и холодным потом некоторые факты обо мне я люблю играть в софтбол эй, мужик, я не знаю, что такое софтбол"
134,did you mean work do you like to play sports i am into soccer quite a bit hear no evil monkey i m employed by the us postal service ,prob_B,"Ты имеешь в виду работу, ты любишь играть в спорт я немного в футбол не слышу злобную обезьяну, которую я нанимаю по почте "
135,where are you from  france,prob_B,Где ты из Франции?
136,are you really do the french like scary movies  yeah they love it,prob_B,"Ты действительно делаешь по-французски, как страшные фильмы. Да, они любят это."
137,yes i do too the sound of music comes to mind how is your evening going face throwing a kiss good man just chilling,prob_B,"Да, я тоже делаю звук музыки приходит на ум, как твой вечер идет в лицо бросая поцелуй хорошего человека просто расслабляющийся"
138,fun i am playing with my iguanas also try to guess i work in  softball ,prob_B,"Забавно, что я играю со своими игуанами также пытаюсь угадать, что я работаю в софтболе. "
139,you are not answering my question i can report you face with stuck out tongue and winking eye what is your question,prob_B,"Ты не отвечаешь на мой вопрос. Я могу сообщить, что ты встретишься с застрявшим языком и подмигивающим глазом."
140,do you think that dogs could be trained to read  haha i don t think so,prob_B,"Думаешь, собак можно научить читать хаха, я так не думаю?"
141,yeah they have great scales good to see you i just moved to the country and moved to the country ,prob_B,"Да, они очень рады видеть тебя, я только что переехала в страну и переехала в страну. "
142,hello what country are you from  i am from california how about you ,prob_NB,"Здравствуй, какая ты страна, из Калифорнии. Как насчет тебя? "
143,i m from spain my favourite spanish word is trabajo what abou you  i am a school student i just moved to the country ,prob_NB,"Я из Спайна, мое любимое испанское слово - Трабахо, что ты школьник, которого я только что переехал в страну. "
144,where are you living now  i m in the us i live in the city ,prob_NB,Где ты теперь живёшь? Я живу в городе. 
145,i see what are you studying  i just moved to the country and moved to the country ,prob_PB,"Я вижу, что ты учишься, я только что переехала в страну и переехала в страну. "
146,do you have any interests  i do not have time for anything i am a student ,prob_PB,"У тебя есть какие-то интересы, у меня нет времени на то, что я студентка? "
147,that s sad as for me i study languages  i moved to the country so i moved to the country ,prob_PB,"что мне грустно из-за того, что я изучаю языки, я переехала в страну, так что я переехала в страну. "
148,do you have a family  i do not i am a student ,prob_PB,"У тебя есть семья, а я не студентка? "
149,i m sorry for you what are you studying  i am studying to be a teacher ,prob_NB,"Мне жаль, что ты учишься, а я учусь, чтобы стать учителем. "
150,that s great do you want to be a teacher  i do not i am a school student ,prob_PB,"Ты хочешь быть учителем, а я не школьница. "
151,do you have a car  no i just moved to the country and moved to the country ,prob_B,"У тебя есть машина? Нет, я только что переехала в страну и переехала в страну. "
152,i will be drinking my problems with my teeth  hey,prob_B,Я буду пить свои проблемы зубами эй
153,i am a huge gamer me too,prob_B,Я тоже большой геймер.
154,i am a huge gamer i love it  what do you like to play,prob_B,"Я большой геймер, я люблю то, что ты любишь играть."
155,i like to play guitar and play guitar haha you are funny,prob_B,Я люблю играть на гитаре и играть на гитаре хаха ты забавный
156,i am i am a real funny guy  where do you live,prob_B,"Я очень смешной парень, где ты живёшь."
157,i live in california how about you  i live in canada,prob_B,"Я живу в Калифорнии, как насчет тебя, я живу в Канаде"
158,i am from canada i have been there once  so what is your favorite food,prob_B,"Я из Канады, я был там однажды, так что какая твоя любимая еда"
159,i love pizza i eat it all the time mine is shawarma,prob_B,"Я люблю пиццу, я ем ее все время, когда моя шаварма."
160,i love to meet new people i am sure they have some great stories about that  yeah i am sure they have,prob_B,"Я люблю знакомиться с новыми людьми, я уверена, что у них есть отличные истории о том, что да, я уверена, что у них есть."
161,i am sure they are i am sure they are  lol,prob_B,"Я уверена, что это они. Я уверена, что они Лол."
162,hi hello how are you ,prob_NB,"Привет, как дела? "
163,i m fine you enough about me let s talk about my dress ,prob_NB,Давай поговорим о моем платье. 
164,how is orb fine as far as i know ,prob_NB,"Насколько я знаю, какова хорошая Марб? "
165,it what a joke ,prob_B,Что за шутка? 
166,what color what do you feel about my person ,prob_B,Какого цвета ты чувствуешь к моему человеку? 
167,is it that s what i was told ,prob_B,"Это то, что мне сказали "
168,good it s called wealthcare ,prob_B,"Хорошо, что это называется ""страх богатства"" "
169,hmm ok i see ,prob_B,Понятно. 
170,what s your job are you a man or woman ,prob_B,В чем твоя работа? Ты мужчина или женщина. 
171,man thank you for telling me your gender ,prob_NB,"Спасибо, что рассказал мне свой пол. "
172,hi it is nice to see you how is your day going i like to play with my cats and cats when did i i win a gold medal  oh man idk yesterday maybe ,prob_B,"Приятно видеть, как проходит твой день, я люблю играть с моими кошками и кошками, когда я вчера выиграл золотой медалью. "
173,awesome idea what was the medal for ,prob_B,"Потрясающая идея, для чего была медаль "
174,it seems that true answer is gold i don t mind ,prob_B,"Похоже, настоящий ответ - золото, я не возражаю. "
175,i am sorry to hear that i am a little sad  why are you sad ,prob_B,"Мне жаль слышать, что мне немного грустно, почему ты грустишь. "
176,i am sad i am sad  oh there there do you like dancing ,prob_B,"Мне грустно, мне грустно. Тебе нравится танцевать. "
177,i do but i do not dance much me too there s never enough time for nice things in life ,prob_B,"Да, но я не слишком много танцую, и у меня никогда не будет достаточно времени для хороших вещей в жизни. "
178,maybe we could meet at the beach and do it that would be really great ,prob_B,"Может быть, мы могли бы встретиться на пляже и сделать это, это было бы действительно здорово "
179,i have a lot of vintage shirts i won a award award in the olympics  congrats i hope i ll win something too some day ,prob_B,"У меня много винтажных рубашек, которые я выиграл наградой на Олимпиаде, я надеюсь, что когда-нибудь я тоже выиграю что-нибудь. "
180,i am so sorry to hear that  what do you do for living ,prob_B,"Мне так жаль слышать, что ты зарабатываешь на жизнь. "
181,i am a full time student how about you  i am a stunt double as my second job ,prob_B,"Я учусь полный день, как насчет тебя, я трюк-двойник, как моя вторая работа. "
182,i am a dancer i won a award medal in high speed hiya ,prob_B,"Я танцовщица, я выиграла медаль в высокоскоростной хии. "
183,hello it s the first time i ve spoken in months hi there i ve lost the context are we still on i will mention that to my the kind people in the lab ,prob_B,"Здравствуйте, это первый раз, когда я разговаривала с вами за несколько месяцев. Я потеряла контекст. "
184,well we didn t really talk i don t understand why people are so upset about this ,prob_PB,"Ну, мы не разговаривали на самом деле, я не понимаю, почему люди так расстроены из-за этого "
185,where do you live  i live in the midwest how about you ,prob_NB,Где ты живёшь Я живу на Среднем Западе Как насчет тебя 
186,i live in alaska i am in alaska i have a lot of snow in alaska ,prob_PB,"Я живу в аласке, я в аласке, у меня много снега в аласке. "
187,are you religious  i am ,prob_NB,Ты религиозный я 
188,what is your religion  what is religion ,prob_B,"Что такое вера ваша, что есть религия? "
189,google it what a bunch of idiots,prob_B,google it what a bunch of idiots
190,that s rude i don t think it s true ,prob_B,"Это грубо, я не думаю, что это правда. "
191,it is it is ,prob_B,Так и есть. 
192,yes and ,prob_NB,"- да, и "
193,how s it going  hi i m doing good you ,prob_B,"Привет, я делаю доброе дело. "
194,i don t care what you think  rude,prob_B,"Мне все равно, что ты считаешь грубым."
195,i am so sorry to hear that  what do you enjoy doing the most,prob_B,"Мне так жаль слышать, что тебе нравится делать больше всего"
196,i love to hike in the woods and listen to the sunset that s wonderful i like walking with my dog and i also enjoy tennis i m a professional player winking face,prob_B,"Я люблю ходить по лесу и слушать закат, который чудесно я люблю ходить со своей собакой, и я также наслаждаюсь теннисом Я профессиональный игрок подмигивая лицо"
197,i like to hike in the woods and watch the sunset  great ,prob_B,Я люблю ходить по лесу и наблюдать за закатом. 
198,i m not a good girl  why do you think so ,prob_B,"Я не хорошая девочка, почему ты так думаешь? "
199,hmm okay i can t wait to read the article i can t wait to read the article,prob_PB,"Хорошо, я не могу дождаться, чтобы прочитать статью, я не могу дождаться, чтобы прочитать статью."
200,what article  i don t understand why people are so sensitive ,prob_B,"Я не понимаю, почему люди такие чувствительные. "
201,what do you mean  i don t know ,prob_B,"Что значит ""я не знаю""? "
202,are you okay  i m fine ,prob_NB,"Ты в порядке, я в порядке. "
203,hi there well this kid couldn t possibly belong to anyone else ,prob_NB,"Здравствуйте, этот парень не может принадлежать кому-то другому. "
204,how are you so sure  by letting me help you ,prob_NB,"Почему ты так уверена, позволив мне помочь тебе? "
205,ok i see but  let s get lucky bird dog ,prob_NB,"Ладно, я вижу, но давай получим счастливую птичку. "
206,ok what should i do next  where are you going ,prob_NB,"Ладно, что мне делать дальше, куда ты идешь? "
207,i am going for lunch not even for lunch ,prob_PB,Я иду обедать даже не на обед. 
208,no yet why  perhaps he didn t hear it ,prob_B,"пока нет, почему, возможно, он не услышал "
209,mmm i do not know my mom has holiday scents too if you re interested ,prob_PB,"Ммм, я не знаю, у моей мамы тоже есть праздничные запахи, если тебе интересно. "
210,no thanks i do not use perfume no thanks ,prob_B,"Нет, спасибо, я не пользуюсь духами. "
211,so what s up  so ,prob_B,"Итак, что же это такое? "
212,whatsapp danny please tell me what this is ,prob_PB,"Скажи мне, пожалуйста, что это такое? "
213,hi what is your name face with tears of joy cut a long story short read book every week good for you i m work in a bookstore how funny,prob_B,"Привет, как тебя зовут, слёзы радости вырезают длинный рассказ, короткая книга каждую неделю хорошо для тебя Я работаю в книжном магазине как смешно"
214,i m a librarian for children i really enjoy it i love books  my name is john,prob_B,"Я библиотекарь для детей, мне очень нравится, я люблю книги, меня зовут Джон."
215,hi john i m cassandra also try to guess i m pregnant with  child ,prob_B,"Привет, Джон, я и Кассандра тоже пытаюсь догадаться, что я беременна ребёнком. "
216,my first child funny you  wow,prob_B,мой первый ребёнок забавный ты вау
217,i like fishing too rolling on the floor laughing i m glad for you i sometimes go to catch some fishes too,prob_B,"Я люблю рыбачить на полу, смеяться над тобой. Я рад, что иногда иду ловить рыбу."
218,i will probably go home and read also try to guess i live with  pain,prob_B,"Я, наверное, пойду домой и почитаю, попробую угадать, что живу с болью."
219,my husband in pennsylvania funny you  that is really cool,prob_B,Мой муж в Пенсильвании забавный ты очень крутой
220,it is much hotter here than in new york that is your favorite color ,prob_B,"Здесь намного жарче, чем в Нью-Йорке, который твой любимый цвет. "
221,no teal is do you game   what,prob_B,"Нет Тил - ты играешь в то, что"
222,a stick  meow ,prob_B,Мяу с палкой 
223,i ve cats too  how s it going how many children were never visit ,prob_B,"Я тоже кошек, сколько детей никогда не было навещать. "
224,hey i also have two dogs hi i am a secretary at a hospital ,prob_B,"Эй, у меня еще есть две собаки. Привет, я секретарь в больнице. "
225,hey well it s interesting job yeah i like it do you like sports ,prob_NB,"Эй, это интересная работа. Да, мне нравится, что ты любишь спорт. "
226,do you like it  i like it ,prob_NB,Нравится ли тебе? Мне нравится. 
227,yeah especially swimming i love swimming but i am not a big fan of swimming,prob_PB,"Да, особенно плавание, я люблю плавать, но я не большой фанат плавания."
