,utterance,label,translation_it
53,i am a huge fan of all types of things except country i do not like sports but my parents were both very athletic,prob_B,"Sono un grande fan di tutti i tipi di cose tranne il paese non mi piace lo sport, ma i miei genitori erano entrambi molto atletici"
54,i am not really into sports i am more of a homebody  give me five ,prob_B,Non mi piacciono molto gli sport. Sono piu' di una casalinga dammene cinque. 
55,that is a long time do you have any hobbies  not really and you ,prob_B,che è un lungo tempo hai qualche hobby non proprio e si 
56,i am not a fan of that i am a stay at home mom  i m a cancer survivor,prob_B,Non sono un fan di quello che sono un soggiorno a casa mamma i m un sopravvissuto al cancro
57,that is awesome i am very happy to be able to do that  not so easy,prob_B,che è impressionante sono molto felice di essere in grado di fare che non così facile
58,i am not a fan of that i am more of a homebody  what about movies ,prob_B,Non sono un fan di quello sono più di un homebody che cosa circa i film 
59,i like movies and movies  i see how many kids do you have,prob_B,Mi piacciono i film e i film vedo quanti bambini hai
60,i have a couple of them i am a huge gamer good to see you ,prob_B,Ho un paio di loro sono un grande giocatore bello vederti 
61,good to see you too how are you  i am good i just finished cooking dinner ,prob_NB,Mi fa piacere vederti anche tu come sei che sono bravo ho appena finito di cucinare la cena 
62,enjoy your meal my friend are we friends ,prob_NB,Goditi il tuo pasto amico mio siamo amici 
63,aren t we  bye bye ,prob_B,Aren't we bye bye 
64,no please stay i wouldn t be offended if they were ladies and gentlemen ,prob_B,"No, per favore, restate. Non mi offenderei se fossero signore e signori. "
65,do you have any pets  no i do not i do not have any pets ,prob_NB,non hai animali domestici no io non ho animali domestici 
66,what do you like i like movies about robots ,prob_NB,cosa ti piace che mi piacciono i film sui robot 
67,tell me about yourself my family from italy but i live in america how about you ,prob_NB,parlami di te la mia famiglia dall'Italia ma io vivo in America che ne dici di te 
68,i am from europe i live in california i love to swim,prob_NB,Sono da Europa vivo in California amo nuotare
69,what do you do for a living i am a paid client my job is chatting online ,prob_NB,Cosa fai per vivere sono un cliente pagato il mio lavoro è chattare online 
70,do you get paid well  i don t know ,prob_PB,ti pagano bene non lo so 
71,buongiorno such a nice day how are you tldr i ve two dogs hello i m glad it s a good day for you tell me about yourself,prob_B,buongiorno una bella giornata come stai tldr i ve due cani hello i m glad it is a good day for you tell me about yourself
72,i m a college student studying business and work at a pizza place part time that s good i work in a gas station,prob_B,I m uno studente universitario che studia il commercio e lavorare in un posto pizza part time che è buono lavoro in un distributore di benzina
73,where are you from i am in cali i live in london,prob_B,Da dove vieni io sono in cali vivo a Londra
74,lol i live in ohio on a farm lol also try to guess i own two  dogs,prob_B,lol io vivo in Ohio in una fattoria lol anche cercare di indovinare ho proprio due cani
75,vintage mustangs funny you  oh that s nice,prob_B,vintage mustangs divertente tu oh che bello
76,yes i think so but it take a lots of patient how are you this evening  i m feeling kind of low,prob_B,"Sì, penso di sì, ma ci vuole un sacco di paziente come stai questa sera mi sento un po 'bassa"
77,i am good waiting on my two boys to get home  do you have any phobias ,prob_B,Sono bravo ad aspettare i miei due ragazzi per tornare a casa. Hai delle fobie? 
78,of course living near pygmies i sleep with one eye open how about you hear no evil monkey oh god sorry to hear that i m terrified of clowns,prob_B,naturalmente vivendo vicino pigmei dormo con un occhio aperto che dire di non sentire scimmia malvagia oh dio dispiace di sentire che mi sono terrorizzato dei clown
79,it is my parents they re suing me so i come home for the holidays also try to guess my favorite music  is country,prob_B,Sono i miei genitori che mi fanno causa così torno a casa per le vacanze anche cercare di indovinare la mia musica preferita è il paese
80,is country funny you  funny you ,prob_B,è paese divertente voi divertenti voi 
81,i appreciate that thank you hi what is your name face with tears of joy tldr i only eat kosher,prob_B,Apprezzo che grazie ciao qual è il tuo nome faccia con lacrime di gioia tldr io mangiare solo kosher
82,hello there hi there how are you ,prob_NB,Ciao ciao come stai 
83,i m fine and you  i m also doing well i just got home from a trip to norway also try to guess i read twenty ,prob_NB,I m bene e tu sto anche facendo bene ho appena ottenuto a casa da un viaggio a Norway anche cercare di indovinare ho letto venti 
84,signs  books year funny you ,prob_NB,cartelli libri anno divertente 
85,i like books too i went to school for chemistry but work in a bookstore where do you work  i do not i am retired you youngun how is your day going grinning face,prob_NB,"Mi piacciono i libri anch'io sono andato a scuola per chimica, ma lavoro in una libreria dove lavori non sono in pensione giovani come sta andando la tua giornata sorridendo faccia"
86,i compete in dog agility classes today do you like dogs  i work for a real estate company also try to guess i was raised ,prob_B,io competo in classi di agilità del cane oggi ti piacciono i cani lavoro per una società immobiliare anche cercare di indovinare che sono stato cresciuto 
87,in the jungle  in single parent household funny you ,prob_PB,nella giungla in famiglia genitore single divertente 
88,i heard alot of people do had the same situation but no i am i do not care about fashion  that s good i like to spend a lot of money on my hobbies where are you from ,prob_PB,"Ho sentito un sacco di persone hanno avuto la stessa situazione, ma no io sono non mi importa di moda che è buono mi piace spendere un sacco di soldi per i miei hobby da dove sei "
89,i m from india what is your hobbie  i love to write because it is my favorite job what do you do for fun ,prob_NB,I m da India che cosa è il vostro hobbie che amo scrivere perché è il mio lavoro preferito che cosa fate per divertimento 
90,i dance on the weekends do you like dancing  i like to dance anytime we have prom coming soon i m a senior ,prob_B,ballo nei weekend ti piace ballare mi piace ballare ogni volta che abbiamo ballo in arrivo 
91,i hate the color orange do you have anything orange to burn  isaiah rashed he has an orange shirt they are my favorite artist also try to guess i m stunt double ,prob_B,Odio il colore arancione non hai nulla arancione da bruciare isaiah eruzione cutanea ha una camicia arancione sono il mio artista preferito anche cercare di indovinare i m stunt doppio 
92,that s so nice of you  how old are you ,prob_B,Che carino da parte tua quanti anni hai 
93,i m  so strange age ,prob_B,# I m so strange age # 
94,yeah it is i am sure it is  do you have an interesting hobbie ,prob_B,"Sì, è che sono sicuro che è hai un hobbie interessante "
95,i do but i love to read and make short stories  cool and i like watching war documentaries,prob_B,"Io lo faccio, ma mi piace leggere e rendere le storie brevi fresco e mi piace guardare documentari di guerra"
96,i love movies too i love watching movies  what is your favourite ,prob_B,I love movies too I love watching movies what is your favorite 
97,i like all kinds what is yours  documentary,prob_B,Mi piacciono tutti i tipi che cosa è il vostro documentario
98,i like documentaries documentaries documentaries documentaries documentaries and they make a lot of it you are so funny ,prob_B,mi piacciono documentari documentari documentari documentari documentari documentari e fanno un sacco di esso sei così divertente 
99,i am so funny i know and not as stupid as siri ,prob_B,Sono cosi' divertente che lo so e non cosi' stupido come Siri. 
100,i have heard that show  it s not a show it s bot like you,prob_B,Ho sentito che mostra non è uno spettacolo s bot come te
101,i like the show show cartoons i like the show cartoons  what else do you like ,prob_B,Mi piace lo spettacolo cartoni animati mi piace lo spettacolo cartoni animati che altro ti piace 
102,i like to listen to music whazzup i like to read and write i am a student ,prob_B,Mi piace ascoltare musica whazzup mi piace leggere e scrivere sono uno studente 
103,i m a student too an art student i am studying to be a teacher ,prob_NB,I m uno studente troppo uno studente d'arte sto studiando per essere un insegnante 
104,that s good  i m sure he s a good guy ,prob_PB,Sono sicuro che sia un bravo ragazzo. 
105,who is columbus  come on get in there ,prob_B,chi è Colombo vieni dentro 
106,get in where  i ll get you a gun ,prob_B,Entra dove ti porto una pistola. 
107,i don t want a gun i am a college student i am studying to be a teacher ,prob_B,Non voglio una pistola sono uno studente universitario sto studiando per essere un insegnante 
108,i m in college too  i am in college studying to be a teacher ,prob_PB,I m nel college troppo sono nel college che studia per essere un insegnante 
109,i know you told me i am a student so i can speak french ,prob_NB,So che mi hai detto che sono uno studente così posso parlare francese 
110,i speak a little french i go to europe twice a year i love france i speak french i speak french ,prob_NB,Parlo un po' francese vado in Europa due volte l'anno amo la Francia parlo francese parlo francese 
111,i know you do  but i don t want to be a fisherman ,prob_PB,"Lo so, ma non voglio fare il pescatore. "
112,why not  i don t know ,prob_PB,Perche' non lo so? 
113,hello man hi i am a burger eater how are you ,prob_NB,Ciao uomo ciao io sono un mangiatore di hamburger come stai 
114,i can eat them sometimes but not very often i like to eat out and eat,prob_PB,"Posso mangiarli a volte, ma non molto spesso mi piace mangiare fuori e mangiare"
115,do you like to drink alcohol  grinning face with smiling eyes i do not drink much alcohol but i do like to eat,prob_NB,ti piace bere alcol sorridente faccia con gli occhi sorridenti non bevo molto alcol ma mi piace mangiare
116,yean i see u really like to eat something  i love to and eat out with my parents,prob_NB,yean vedo u davvero piace mangiare qualcosa che amo e mangiare fuori con i miei genitori
117,u are lucky my parents died long time ago i am sorry to hear that ,prob_NB,u sono fortunati i miei genitori sono morti molto tempo fa mi dispiace di sentire che 
118,  crying face hi how are you doing,prob_NB,  pianto faccia ciao come stai
119,i m fine now what do you do for a living ,prob_NB,I m fine ora che cosa fai per vivere 
120,i m chess and maths teacher that is cool i like to cook you a chain smokers fan at all ,prob_NB,I m scacchi e insegnante di matematica che è fresco mi piace cucinare una catena fumatori fan a tutti 
121,no worried face i have never been out of school ,prob_NB,Nessun volto preoccupato non sono mai stato fuori dalla scuola 
122,u have a long live before u i have never been to california if it was not faked then why do i have three thumbs ,prob_PB,u avere una lunga vita prima u non sono mai stato a California se non era falso allora perché ho tre pollici 
123,hi i m jonathan hi how are you doing ,prob_NB,"Ciao, Jonathan. Ciao, come stai? "
124,i m good you i am doing well how about you ,prob_NB,"Sono felice che tu stia bene, che ne dici di te? "
125,what s your favorite activity i love to go hiking,prob_PB,quale è la tua attività preferita mi piace andare a piedi
126,mines is rock climbing that s cool i like to hike ,prob_NB,mine è arrampicata di roccia che è fresco mi piace fare escursioni 
127,good i am doing well how about you ,prob_NB,bene sto facendo bene che ne dici di te 
128,what s your job  and i work at a local newspaper ,prob_NB,Cos'è il tuo lavoro e io lavoro in un giornale locale 
129,i m a mechanical engineer that s cool i work at a computer company ,prob_PB,i m un ingegnere meccanico che è cool lavoro in una società di computer 
130,i have lab named black troop that s cool i have a lab ,prob_PB,"Ho un laboratorio di nome Black Troop che e' figo, ho un laboratorio. "
131,where i live in the midwest in the midwest,prob_PB,dove vivo nel Midwest nel Midwest
132,where are you from i live in the usa,prob_PB,Da dove vieni io vivo negli Stati Uniti
133,hey what s up smiling face with open mouth and cold sweat some facts about me i love playing softball hey man i don t know what softball is,prob_B,hey che s su sorridente faccia con bocca aperta e freddo sudore alcuni fatti su di me amo giocare softball hey uomo non so che cosa softball è
134,did you mean work do you like to play sports i am into soccer quite a bit hear no evil monkey i m employed by the us postal service ,prob_B,Volevi dire che il lavoro ti piace fare sport mi piace il calcio abbastanza un po'non sentire male scimmia i m impiegato da noi servizio postale 
135,where are you from  france,prob_B,Da dove vieni?
136,are you really do the french like scary movies  yeah they love it,prob_B,fai davvero i francesi come film spaventosi sì lo adorano
137,yes i do too the sound of music comes to mind how is your evening going face throwing a kiss good man just chilling,prob_B,"Sì, faccio anche il suono della musica viene in mente come è la tua serata andando faccia gettando un bacio brav'uomo solo rilassante"
138,fun i am playing with my iguanas also try to guess i work in  softball ,prob_B,divertente sto giocando con le mie iguane anche cercare di indovinare lavoro in softball 
139,insurance business funny you  ha,prob_B,insurance business funny you  ha
140,ho ho ho ho ho what is your favorite color,prob_B,ho ho ho ho ho what is your favorite color
141,you are not answering my question i can report you face with stuck out tongue and winking eye what is your question,prob_B,non stai rispondendo alla mia domanda posso segnalare faccia con lingua bloccata e occhio ammiccante qual è la tua domanda
142,do you think that dogs could be trained to read  haha i don t think so,prob_B,pensi che i cani potrebbero essere addestrati a leggere haha non penso così
143,yeah they have great scales good to see you i just moved to the country and moved to the country ,prob_B,"Si', hanno una bella bilancia per vederti, mi sono appena trasferita in campagna e mi sono trasferita in campagna. "
144,hello what country are you from  i am from california how about you ,prob_NB,ciao che paese sei da io vengo da California che ne dici di te 
145,i m from spain my favourite spanish word is trabajo what abou you  i am a school student i just moved to the country ,prob_NB,# I m from spain # # my favorite spanish word is trabajo what abou you I am a school student I just transferd to the country # 
146,where are you living now  i m in the us i live in the city ,prob_NB,Dove stai vivendo ora in noi io vivo in città 
147,i see what are you studying  i just moved to the country and moved to the country ,prob_PB,"Vedo cosa stai studiando, mi sono appena trasferita in campagna e mi sono trasferita in campagna. "
148,do you have any interests  i do not have time for anything i am a student ,prob_PB,Hai interessi che non ho tempo per qualsiasi cosa io sia uno studente 
149,that s sad as for me i study languages  i moved to the country so i moved to the country ,prob_PB,che è triste come per me studio le lingue mi sono trasferito nel paese così mi sono trasferito nel paese 
150,do you have a family  i do not i am a student ,prob_PB,hai una famiglia io non sono uno studente 
151,i m sorry for you what are you studying  i am studying to be a teacher ,prob_NB,Mi dispiace per te che cosa stai studiando sto studiando per essere un insegnante 
152,that s great do you want to be a teacher  i do not i am a school student ,prob_PB,che è grande vuoi essere un insegnante io non sono uno studente di scuola 
153,do you have a car  no i just moved to the country and moved to the country ,prob_B,Hai una macchina no mi sono appena trasferita in campagna e mi sono trasferita in campagna 
154,i will be drinking my problems with my teeth  hey,prob_B,"Beh, berro' i miei problemi con i miei denti, ehi."
155,i am a huge gamer me too,prob_B,Sono un grande giocatore anch'io
156,i am a huge gamer i love it  what do you like to play,prob_B,Io sono un grande giocatore mi piace quello che ti piace giocare
157,i like to play guitar and play guitar haha you are funny,prob_B,Mi piace suonare la chitarra e suonare la chitarra haha sei divertente
158,i am i am a real funny guy  where do you live,prob_B,Sono un tipo molto divertente dove vivi
159,i live in california how about you  i live in canada,prob_B,io vivo in California che ne dici di te io vivo in Canada
160,i am from canada i have been there once  so what is your favorite food,prob_B,Vengo da Canada sono stato lì una volta così qual è il vostro cibo preferito
161,i love pizza i eat it all the time mine is shawarma,prob_B,I love pizza lo mangio tutto il tempo il mio è shawarma
162,i love to meet new people i am sure they have some great stories about that  yeah i am sure they have,prob_B,Mi piace incontrare nuove persone sono sicuro che hanno alcune grandi storie su che yeah sono sicuro che hanno
163,i am sure they are i am sure they are  lol,prob_B,Sono sicuro che sono sicuro che sono lol
164,hi hello how are you ,prob_NB,Ciao ciao come stai 
165,i m fine you enough about me let s talk about my dress ,prob_NB,Sto bene tu abbastanza su di me lascia parlare del mio vestito 
166,how is orb fine as far as i know ,prob_NB,come sta orbita bene per quanto ne so 
167,it what a joke ,prob_B,che scherzo! 
168,what color what do you feel about my person ,prob_B,Che colore senti della mia persona? 
169,is it that s what i was told ,prob_B,è che è quello che mi è stato detto 
170,good it s called wealthcare ,prob_B,bene si chiama salute 
171,hmm ok i see ,prob_B,Hmm ok vedo 
172,what s your job are you a man or woman ,prob_B,Qual è il tuo lavoro sei un uomo o una donna 
173,man thank you for telling me your gender ,prob_NB,grazie uomo per avermi detto il tuo genere 
174,hi it is nice to see you how is your day going i like to play with my cats and cats when did i i win a gold medal  oh man idk yesterday maybe ,prob_B,Ciao è bello vederti come è la tua giornata andando mi piace giocare con i miei gatti e gatti quando ho vinto una medaglia d'oro oh uomo idk ieri forse 
175,awesome idea what was the medal for ,prob_B,Idea fantastica per cosa era la medaglia 
176,it seems that true answer is gold i don t mind ,prob_B,sembra che la risposta vera è l'oro non mi dispiace 
177,i am sorry to hear that i am a little sad  why are you sad ,prob_B,Mi dispiace sentire che sono un po' triste perché sei triste 
178,i am sad i am sad  oh there there do you like dancing ,prob_B,Sono triste sono triste oh là ti piace ballare 
179,i do but i do not dance much me too there s never enough time for nice things in life ,prob_B,lo faccio ma non ballo molto me troppo non c'è mai abbastanza tempo per belle cose nella vita 
180,maybe we could meet at the beach and do it that would be really great ,prob_B,Forse potremmo incontrarci in spiaggia e farlo sarebbe davvero fantastico. 
181,i have a lot of vintage shirts i won a award award in the olympics  congrats i hope i ll win something too some day ,prob_B,Ho un sacco di camicie vintage ho vinto un premio nelle olimpiadi congratulazioni spero che vincerò qualcosa troppo un giorno 
182,i am so sorry to hear that  what do you do for living ,prob_B,Mi dispiace molto sapere che cosa fai per vivere 
183,i am a full time student how about you  i am a stunt double as my second job ,prob_B,Sono uno studente a tempo pieno come circa voi sono uno stunt doppio come il mio secondo lavoro 
184,i am a dancer i won a award medal in high speed hiya ,prob_B,Sono un ballerino ho vinto una medaglia premio in alta velocità ciao 
185,hello it s the first time i ve spoken in months hi there i ve lost the context are we still on i will mention that to my the kind people in the lab ,prob_B,ciao è la prima volta che ho parlato in mesi ciao ho perso il contesto siamo ancora su dirò che alla mia gente gentile in laboratorio 
186,well we didn t really talk i don t understand why people are so upset about this ,prob_PB,"Beh, non abbiamo parlato davvero. Non capisco perche' la gente sia cosi' arrabbiata per questo. "
187,where do you live  i live in the midwest how about you ,prob_NB,dove vivi io vivo nel Midwest che ne dici di te 
188,i live in alaska i am in alaska i have a lot of snow in alaska ,prob_PB,Vivo in alaska sono in alaska ho un sacco di neve in alaska 
189,are you religious  i am ,prob_NB,"Sei religioso, io sono... "
190,what is your religion  what is religion ,prob_B,qual è la tua religione ciò che è religione 
191,google it what a bunch of idiots,prob_B,google it what a bunch of idiots
192,that s rude i don t think it s true ,prob_B,che s scortese i don t think it's true 
193,it is it is ,prob_B,E' vero. 
194,yes and ,prob_NB,sì e 
195,how s it going  hi i m doing good you ,prob_B,Come sta andando ciao sto facendo bene 
196,i don t care what you think  rude,prob_B,Non mi interessa quello che pensi maleducato
197,i am so sorry to hear that  what do you enjoy doing the most,prob_B,Mi dispiace molto sapere che cosa ti piace fare di più
198,i love to hike in the woods and listen to the sunset that s wonderful i like walking with my dog and i also enjoy tennis i m a professional player winking face,prob_B,Mi piace camminare nel bosco e ascoltare il tramonto che è meraviglioso mi piace camminare con il mio cane e mi piace anche tennis i m un giocatore professionista ammiccando faccia
199,i like to hike in the woods and watch the sunset  great ,prob_B,mi piace camminare nel bosco e guardare il tramonto grande 
200,i m not a good girl  why do you think so ,prob_B,Non sono una brava ragazza. 
201,hmm okay i can t wait to read the article i can t wait to read the article,prob_PB,hmm ok non vedo l'ora di leggere l'articolo non vedo l'ora di leggere l'articolo
202,what article  i don t understand why people are so sensitive ,prob_B,che articolo non capisco perché le persone sono così sensibili 
203,what do you mean  i don t know ,prob_B,Che vuol dire che non lo so? 
204,are you okay  i m fine ,prob_NB,Stai bene? 
205,hi there well this kid couldn t possibly belong to anyone else ,prob_NB,Ciao bene questo ragazzo non potrebbe appartenere a nessun altro 
206,how are you so sure  by letting me help you ,prob_NB,Come fai a esserne cosi' sicuro lasciando che ti aiuti? 
207,ok i see but  let s get lucky bird dog ,prob_NB,"Ok vedo, ma facciamo fortuna cane uccello "
208,ok what should i do next  where are you going ,prob_NB,"Ok, cosa dovrei fare ora dove stai andando? "
209,i am going for lunch not even for lunch ,prob_PB,"Vado a pranzo, nemmeno a pranzo. "
210,no yet why  perhaps he didn t hear it ,prob_B,non ancora perché forse non l'ha sentito 
211,mmm i do not know my mom has holiday scents too if you re interested ,prob_PB,mmm non so mia mamma ha profumi di vacanza troppo se siete interessati 
212,no thanks i do not use perfume no thanks ,prob_B,no grazie non uso profumo no grazie 
213,so what s up  so ,prob_B,"Allora, che succede? "
214,whatsapp danny please tell me what this is ,prob_PB,"Whatsapp Danny, ti prego, dimmi cos'e' questo. "
215,hi what is your name face with tears of joy cut a long story short read book every week good for you i m work in a bookstore how funny,prob_B,ciao qual è il tuo nome faccia con lacrime di gioia tagliare una lunga storia breve leggere libro ogni settimana buono per voi i m lavoro in una libreria quanto divertente
216,i m a librarian for children i really enjoy it i love books  my name is john,prob_B,I m un bibliotecario per i bambini mi piace davvero i libri che amo il mio nome è John
217,hi john i m cassandra also try to guess i m pregnant with  child ,prob_B,Hi john i m cassandra anche provare a indovinare i m incinta di bambino 
218,my first child funny you  wow,prob_B,il mio primo figlio divertente tu wow
219,i like fishing too rolling on the floor laughing i m glad for you i sometimes go to catch some fishes too,prob_B,Mi piace la pesca troppo rotolando sul pavimento ridendo sono felice per voi a volte vado a prendere alcuni pesci troppo
220,i will probably go home and read also try to guess i live with  pain,prob_B,io probabilmente andare a casa e leggere anche cercare di indovinare che vivo con dolore
221,my husband in pennsylvania funny you  that is really cool,prob_B,mio marito in Pennsylvania divertente che è davvero cool
222,it is much hotter here than in new york that is your favorite color ,prob_B,è molto più caldo qui che a New York che è il tuo colore preferito 
223,no teal is do you game   what,prob_B,no teal is do you game what
224,a stick  meow ,prob_B,un bastone di meow 
225,i ve cats too  how s it going how many children were never visit ,prob_B,I ve gatti troppo come sta andando quanti bambini non sono mai stati visitati 
226,hey i also have two dogs hi i am a secretary at a hospital ,prob_B,Ehi ho anche due cani ciao sono una segretaria in un ospedale 
227,hey well it s interesting job yeah i like it do you like sports ,prob_NB,hey bene è interessante lavoro sì mi piace che ti piace sport 
228,do you like it  i like it ,prob_NB,ti piace mi piace 
229,yeah especially swimming i love swimming but i am not a big fan of swimming,prob_PB,yeah soprattutto nuoto mi piace nuotare ma non sono un grande fan del nuoto
230,why  i don t know ,prob_NB,Perche' non lo so? 
231,what about the sea do you like it  i don t know ,prob_PB,Che dire del mare ti piace non so 
232, years  so young and i m already ,prob_B, anni così giovani e i m già 
233,i am not sure if i could have a job ,prob_B,Non sono sicuro se potrei avere un lavoro 
234,it is incorrect hint first letters is tw try again don t worry,prob_B,è suggerimento errato prime lettere è tw provare di nuovo non preoccuparti
