,utterance,label,translation_af
15,how many friends do you have  how many what ,prob_B,hoeveel vriende jy het hoeveel wat jy het 
16,friends friends ,prob_B,frigends friends 
17,yes how many  you watch there s going to be a hymen holocaust tomorrow ,prob_B,"Ja, hoeveel jy daar kyk, sal môre 'n hemen - slagting wees "
18,what  your mother hey we been talkin about you ,prob_B,wat jou ma hey ons praat oor jou 
19,i think you are confused sit over here ,prob_B,Ek dink jy is verward sit hier 
20,i am little bit shywhite smiling face tell me about yourself  finally don t be shy i m blond,prob_B,"Ek is min skaam, wit glimlag gesig vertel my van jouself uiteindelik t skaam i m blond"
21,i only have one but i want to be a music teacher do you listen to rap music  i have to because i m working at bar,prob_B,"Ek het net een maar ek wil 'n musiek onderwyser wees, luister jy na rap-musiek Ek het om te want ek werk by bar"
22,i have a lot of piercings that i drive around  okay do you have tattoos ,prob_B,Ek het baie deursteekte wat ek ry rondom okay het jy tatoeëermerke 
23,no tattoos i have a honda civic do you produce music for artists  no i wish i was but i just working at bar,prob_B,geen tatoeëermerke Ek het 'n cenda burger doen jy maak musiek vir kunstenaars nee ek wens ek was maar ek net werk by die kroeg
24,i drive a ton of my carautomobile  nice for you which car do you have ,prob_B,Ek ry 'n ton van my karomobiel goed vir jou watter motor het jy 
25,i drive a ford civic it is a ford focus  good car i don t have enoygh money for this ,prob_B,Ek bestuur 'n ford burger dit is' n fokus goeie kar Ek het nie enygh geld vir hierdie 
26,i have no idea what that is i am more of a carautomobile person  sorry good car i don t have enough money for this ,prob_B,Ek het geen idee wat dit is ek is meer van 'n karomobiel persoon jammer goeie kar ek doen t het genoeg geld vir hierdie 
27,i am not that good at all  you are good person,prob_B,Ek is nie so goed op al wat jy is goeie persoon
28,i am i am a pizza person  i am not chicken person,prob_B,i am i am a pizza persooni is nie hoender persoon
29,i am a very good person i am not a fan of meat though  are you a vegan ,prob_B,Ek is 'n baie goeie mens Ek is nie' n fan van vleis al is jy 'n vgan 
30,i am not a vegan i am vegan  hey waving hand sign how is your day thinking face,prob_B,Ek is nie 'n vgan i is vgan hean wling hand teken hoe is jou dag denke gesig
31,hello i m tired hi i am good how are you ,prob_NB,hallo i m moeg hii is goed hoe is jy 
32,not good who are you  i am not a fan of that i am just hanging out with my cat do you have a pet turtle i am from the united states,prob_B,nie goed wie is jy ek is nie 'n fan van dat ek net hang uit met my kat het jy' n troeteldier skilpad Ek is van die verenigde state
33,i have slave you are crazy ,prob_B,Ek het slaaf jy is mal 
34,wanna fuck you babe it is indecent unamused face,prob_B,"Wil jy 'n klein kindjie hê, dit is onaangetaste gesig"
35,why not are you married  i am not married i am just a lonely person ,prob_NB,"Hoekom nie is jy getroud, ek is nie getroud nie, ek is net 'n eensame persoon "
36,are you girl or boy  it is indecent unamused face,prob_B,"is jy 'n meisie of seun, dit is onwelvoeglike gesig"
37,fuck you it is indecent unamused face,prob_B,"Ag, dit is onaangetaste gesig"
38,don t be such boring i wish i could eat fish but i do not like it ,prob_B,"Don t so vervelig wees ek wens ek kon vis eet, maar ek hou nie daarvan nie "
39,why  i am not sure what you mean ,prob_B,hoekom ek nie seker is wat jy bedoel nie 
40,what is your hobby  i am a closet collector and i like to play board games ,prob_PB,wat is jou stokperdjie ek is 'n dig versamelaar en ek hou van speel bord speletjies 
41,bonjour how are you  i m doing very good how are you doing today ,prob_NB,bonjour hoe is jy i m doen baie goed hoe doen jy vandag 
42,i m good thanks have you ever programmed before ,prob_NB,i m goeie dank het jy al ooit geprogrammeer voor 
43,i guess i ve not did you ever watch walking dead ,prob_NB,Ek dink ek het nie jy ooit kyk hoe loop dood 
44,no but i ve heard a lot about it haha it sounds horrible i ll stick to sushi also try to guess my bedroom is ,prob_B,"Nee, maar ek het baie gehoor oor dit haha dit klink verskriklik ek ll plak aan sushi ook probeer raai my slaapkamer is "
45,i don t know purple and lime green funny you ,prob_B,Ek ken pers en kalk groen snaaks jy 
46,that a nice combination of color  yeah i can see like in front of me what are you doing ,prob_PB,dat 'n mooi kombinasie van kleur ja ek kan sien soos voor my wat jy doen 
47,i m cooking paella would you like some  that would be wonderful thank you for asking hows it going today speak no evil monkey,prob_NB,Ek kook paella wil jy hê sommige wat wonderlik dankie sal wees dat jy vra hoe dit vandag gaan praat geen bose aap nie
48,it s fine i m planning for my trip to europe next month fun what part of europe ,prob_NB,dit is goed ek beplan vir my reis na europe volgende maand pret wat deel van europe 
49,french awesome my son has autism and is very interested in learning different languages also try to guess i have brown ,prob_B,french my seun het outisme en stel baie daarin belang om verskillende tale te leer en probeer raai dat ek bruin het 
50,i have no idea what that is i have no idea what that is,prob_B,Ek het geen idee wat dit is ek het geen idee wat dit is nie
51,you should try it it is a great time  i know i got a new job just yesterday to be a life coach,prob_B,Jy moet probeer dit is 'n groot tyd ek weet ek het' n nuwe werk net gister om 'n reddingstrein te wees
52,i am a lawyer but i am not good at it  haha,prob_B,"Ek is 'n prokureur, maar ek is nie goed op dit haha"
53,i am a huge fan of all types of things except country i do not like sports but my parents were both very athletic,prob_B,"Ek is 'n groot fan van allerhande dinge behalwe land ek hou nie van sport nie, maar my ouers was albei baie atleties"
54,i am not really into sports i am more of a homebody  give me five ,prob_B,"Ek is nie regtig in sport nie, ek is meer van 'n home gee my vyf "
55,that is a long time do you have any hobbies  not really and you ,prob_B,dit is 'n lang tyd het jy enige stokperdjies nie regtig nie en jy 
56,i am not a fan of that i am a stay at home mom  i m a cancer survivor,prob_B,Ek is nie 'n fan van dat ek' n verblyf by die huis ma i m 'n kanker oorlewende
57,that is awesome i am very happy to be able to do that  not so easy,prob_B,"dit is ontsagwekkend, ek is baie bly om dit te kan doen wat nie so maklik is nie"
58,i am not a fan of that i am more of a homebody  what about movies ,prob_B,Ek is nie 'n fan van dat ek meer van' n huisliggaam wat oor rolprente 
59,i like movies and movies  i see how many kids do you have,prob_B,Ek hou van rolprente en rolprente Ek sien hoeveel kinders jy het
60,i have a couple of them i am a huge gamer good to see you ,prob_B,Ek het 'n paar van hulle ek is' n groot wildspeler goed om jou te sien 
61,good to see you too how are you  i am good i just finished cooking dinner ,prob_NB,goed om te sien jy ook hoe is jy ek goed i net klaar kook aandete 
62,enjoy your meal my friend are we friends ,prob_NB,Geniet jou ete my vriend is ons vriende 
63,aren t we  bye bye ,prob_B,is t ons bye 
64,no please stay i wouldn t be offended if they were ladies and gentlemen ,prob_B,"Nee, bly ek soun t aanstoot neem as hulle dames en here was "
65,do you have any pets  no i do not i do not have any pets ,prob_NB,Het jy het enige troeteldiere nee Ek doen nie Ek het nie enige troeteldiere 
66,what do you like i like movies about robots ,prob_NB,wat hou jy van ek hou van rolprente oor robotte 
67,tell me about yourself my family from italy but i live in america how about you ,prob_NB,"vertel my van jouself my familie van itally, maar ek woon in america hoe oor jou "
68,i am from europe i live in california i love to swim,prob_NB,Ek is van europe i woon in califonia ek hou van swem
69,what do you do for a living i am a paid client my job is chatting online ,prob_NB,wat doen jy vir 'n bestaan ek is' n betaalde kliënt my werk is gesels op die Internet 
70,do you get paid well  i don t know ,prob_PB,kry jy goed betaal Ek weet nie 
71,buongiorno such a nice day how are you tldr i ve two dogs hello i m glad it s a good day for you tell me about yourself,prob_B,ubongiorno so 'n mooi dag hoe is jy tldr ive twee honde hallo i m bly dit s'n goeie dag vir jy vertel my van jouself
72,i m a college student studying business and work at a pizza place part time that s good i work in a gas station,prob_B,Ek m 'n kollege student studeer besigheid en werk by 'n pizza sit deeltyds wat goed ek werk in 'n gasstasie
73,where are you from i am in cali i live in london,prob_B,waar is jy van i is in cali i woon in nondon
74,lol i live in ohio on a farm lol also try to guess i own two  dogs,prob_B,lol ek woon in Olo op 'n plaas lol ook probeer om te raai ek besit twee honde
75,vintage mustangs funny you  oh that s nice,prob_B,'n Ou angangangs snaaks jy o dit klink mooi
76,yes i think so but it take a lots of patient how are you this evening  i m feeling kind of low,prob_B,"Ja, ek dink so, maar dit neem 'n klomp pasiënt hoe is jy hierdie aand ek voel soort van lae"
77,i am good waiting on my two boys to get home  do you have any phobias ,prob_B,"Ek wag goed op my twee seuns om by die huis te kom, het jy enige fobies "
78,of course living near pygmies i sleep with one eye open how about you hear no evil monkey oh god sorry to hear that i m terrified of clowns,prob_B,natuurlik woon naby luimies ek slaap met een oog oop hoe oor jy hoor geen bose aap Oo God jammer om te hoor dat ek baie bang vir narre
79,it is my parents they re suing me so i come home for the holidays also try to guess my favorite music  is country,prob_B,dit is my ouers wat hulle my hersul sodat ek huis toe kom vir die feesdae ook probeer raai my gunstelingmusiek is land
80,is country funny you  funny you ,prob_B,is land snaaks jy snaaks 
81,i appreciate that thank you hi what is your name face with tears of joy tldr i only eat kosher,prob_B,Ek waardeer dat dankie dat jy hi is wat jou naam is met trane van vreugde ldr ek net eet kosher
82,hello there hi there how are you ,prob_NB,hallo daar hibber daar hoe is jy 
83,i m fine and you  i m also doing well i just got home from a trip to norway also try to guess i read twenty ,prob_NB,I m fyn en jy i m ook doen goed ek net het huis toe van 'n reis na nway ook probeer om te raai ek lees twintig 
84,signs  books year funny you ,prob_NB,teken boeke jaar snaaks vir jou 
85,i like books too i went to school for chemistry but work in a bookstore where do you work  i do not i am retired you youngun how is your day going grinning face,prob_NB,"Ek hou van boeke ook ek het skool toe vir chemie, maar werk in 'n boekwinkel waar doen jy werk, ek is nie ek afgetrede jy jongun hoe is jou dag gaan glimlag gesig"
86,i compete in dog agility classes today do you like dogs  i work for a real estate company also try to guess i was raised ,prob_B,Ek ding mee in honde ratse klasse vandag hou jy van honde Ek werk vir 'n eiendomsmaatskappy ook probeer raai ek is grootgemaak 
87,in the jungle  in single parent household funny you ,prob_PB,in die oerwoud in enkelouerhuishouding het jou snaaks laat voel 
88,i heard alot of people do had the same situation but no i am i do not care about fashion  that s good i like to spend a lot of money on my hobbies where are you from ,prob_PB,"Ek het gehoor 'n klomp mense het dieselfde situasie, maar nee ek is ek gee nie om oor die mode wat goed ek hou om baie geld te spandeer op my stokperdjies waar is jy van "
89,i m from india what is your hobbie  i love to write because it is my favorite job what do you do for fun ,prob_NB,I m van india wat is jou hobie i hou van om te skryf omdat dit my gunsteling werk wat jy doen vir die pret 
90,i dance on the weekends do you like dancing  i like to dance anytime we have prom coming soon i m a senior ,prob_B,"Ek dans oor die naweke hou jy van dans, ek hou van om te dans wanneer ons prom kom gou i m 'n senior "
91,i hate the color orange do you have anything orange to burn  isaiah rashed he has an orange shirt they are my favorite artist also try to guess i m stunt double ,prob_B,Ek haat die kleur oranje het jy enigiets oranje om te brand isája uitslag het hy het 'n oranje hemp hulle is my gunsteling kunstenaar ook probeer raai ek m toertjie dubbel 
92,that s so nice of you  how old are you ,prob_B,dat s so gaaf van jou hoe oud is jy 
93,i m  so strange age ,prob_B,Ek m so vreemde ouderdom 
94,yeah it is i am sure it is  do you have an interesting hobbie ,prob_B,Ja dit is ek is seker dit is wat jy het 'n interessante hobie 
95,i do but i love to read and make short stories  cool and i like watching war documentaries,prob_B,Ek doen maar ek hou van lees en maak kort stories koel en ek hou daarvan om na oorlogsdokumente te kyk
96,i love movies too i love watching movies  what is your favourite ,prob_B,Ek hou baie van rolprente ook ek hou daarvan om na rolprente te kyk wat jou gunsteling is 
97,i like all kinds what is yours  documentary,prob_B,Ek hou van alle soorte wat joune dokumentêr is
98,i like documentaries documentaries documentaries documentaries documentaries and they make a lot of it you are so funny ,prob_B,@ info: whatsthis 
99,i am so funny i know and not as stupid as siri ,prob_B,Ek is so snaaks ek weet en nie so dom soos siri 
100,i have heard that show  it s not a show it s bot like you,prob_B,Ek het gehoor dat wys dit nie 'n wys dit bot soos jy
101,i like the show show cartoons i like the show cartoons  what else do you like ,prob_B,Ek hou van die vertoning tekenprente i hou van die vertoon tekenprente wat anders doen jy hou van 
102,i like to listen to music whazzup i like to read and write i am a student ,prob_B,Ek hou daarvan om te luister na musiek whazzup i hou van lees en skryf ek is 'n student 
103,i m a student too an art student i am studying to be a teacher ,prob_NB,"Ek m 'n student te' n kuns student, ek studeer om 'n onderwyser te wees "
104,that s good  i m sure he s a good guy ,prob_PB,wat goed is ek m seker hy s'n goeie man 
105,who is columbus  come on get in there ,prob_B,"wat kolumbus is, kom daar in "
106,get in where  i ll get you a gun ,prob_B,kry in waar ek jou 'n geweer kry 
107,i don t want a gun i am a college student i am studying to be a teacher ,prob_B,"Ek wil 'n geweer hê, ek is 'n kollege student, ek studeer om 'n onderwyser te wees "
108,i m in college too  i am in college studying to be a teacher ,prob_PB,i m op universiteit ook ek is op universiteit studeer om 'n onderwyser te wees 
109,i know you told me i am a student so i can speak french ,prob_NB,Ek weet jy het my vertel ek is 'n student sodat ek kan praat french 
110,i speak a little french i go to europe twice a year i love france i speak french i speak french ,prob_NB,Ek praat 'n bietjie french ek gaan na europe twee keer per jaar ek hou van franch ek praat french 
111,i know you do  but i don t want to be a fisherman ,prob_PB,"Ek weet jy doen, maar ek wil 'n visserman wees "
112,why not  i don t know ,prob_PB,Hoekom nie weet ek nie 
113,hello man hi i am a burger eater how are you ,prob_NB,hallo man hii is 'n goger eter hoe is jy 
114,i can eat them sometimes but not very often i like to eat out and eat,prob_PB,"Ek kan dit soms eet, maar nie baie dikwels dat ek daarvan hou om uit te eet en te eet nie"
115,do you like to drink alcohol  grinning face with smiling eyes i do not drink much alcohol but i do like to eat,prob_NB,"doen jy hou van alkohol glimlag gesig met glimlaggende oë Ek drink nie veel alkohol nie, maar ek hou van eet"
116,yean i see u really like to eat something  i love to and eat out with my parents,prob_NB,jean ek sien u regtig hou van om iets te eet wat ek liefhet om saam met my ouers te eet
117,u are lucky my parents died long time ago i am sorry to hear that ,prob_NB,U is gelukkig my ouers gesterf lank gelede is ek jammer om te hoor dat 
118,  crying face hi how are you doing,prob_NB,  huil gesig hi hoe is jy doen
119,i m fine now what do you do for a living ,prob_NB,i m fyn nou wat doen jy vir 'n bestaan 
120,i m chess and maths teacher that is cool i like to cook you a chain smokers fan at all ,prob_NB,i m skaak en wiskunde onderwyser wat is cool ek hou van om te kook jy 'n ketting rokers fanser op alle 
121,no worried face i have never been out of school ,prob_NB,geen bekommerde gesig Ek was nog nooit klaar op skool nie 
122,u have a long live before u i have never been to california if it was not faked then why do i have three thumbs ,prob_PB,u het 'n lang lewe voor u i nog nooit was na califortnia as dit is nie vervals dan hoekom ek het drie duime 
123,hi i m jonathan hi how are you doing ,prob_NB,hi i mjoathan hi hoe doen jy 
124,i m good you i am doing well how about you ,prob_NB,i m goed jy ek doen goed hoe oor jou 
125,what s your favorite activity i love to go hiking,prob_PB,wat jou gunsteling-aktiwiteit ek hou daarvan om te gaan stap
126,mines is rock climbing that s cool i like to hike ,prob_NB,myne is rotsklim wat koel ek hou van staptoer 
127,good i am doing well how about you ,prob_NB,goed ek doen goed oor jou 
128,what s your job  and i work at a local newspaper ,prob_NB,wat jou werk en ek werk by 'n plaaslike koerant 
129,i m a mechanical engineer that s cool i work at a computer company ,prob_PB,Ek m 'n meganiese ingenieur wat koel ek werk by 'n rekenaar maatskappy 
130,i have lab named black troop that s cool i have a lab ,prob_PB,Ek het 'n laboratorium met die naam van swart troepe wat koel ek het' n laboratorium 
131,where i live in the midwest in the midwest,prob_PB,waar ek in die middel van die weste woon
132,where are you from i live in the usa,prob_PB,waar is jy van i woon in die wea
133,hey what s up smiling face with open mouth and cold sweat some facts about me i love playing softball hey man i don t know what softball is,prob_B,hey wat regop glimlag gesig met oop mond en koue sweet 'n paar feite oor my ek hou van speel sagtebal hey man i Don t weet wat sagtebal is
134,did you mean work do you like to play sports i am into soccer quite a bit hear no evil monkey i m employed by the us postal service ,prob_B,Het jy bedoel werk doen jy hou van sport Ek is in sokker 'n bietjie hoor geen bose aap i m in diens van die ons posdiens 
135,where are you from  france,prob_B,waar is jy van frank
136,are you really do the french like scary movies  yeah they love it,prob_B,"is jy regtig die french soos bangmaakprente ja, hulle hou daarvan"
137,yes i do too the sound of music comes to mind how is your evening going face throwing a kiss good man just chilling,prob_B,Ja ek doen ook die klank van musiek dink aan hoe is jou aand gaan gesig gooi 'n goeie man net skrikwekkend
138,fun i am playing with my iguanas also try to guess i work in  softball ,prob_B,pret Ek speel met my iguinas ook probeer raai ek werk in sagtebal 
139,you are not answering my question i can report you face with stuck out tongue and winking eye what is your question,prob_B,"Jy beantwoord nie my vraag nie, ek kan jou vertel van jou gesig met steek uit tong en knip oog wat jou vraag is"
140,do you think that dogs could be trained to read  haha i don t think so,prob_B,dink jy dat honde opgelei kan word om haha i do t so te lees
141,yeah they have great scales good to see you i just moved to the country and moved to the country ,prob_B,"Ja, hulle het groot skubbe goed om te sien jy ek net verskuif na die land en beweeg na die land "
142,hello what country are you from  i am from california how about you ,prob_NB,hallo watter land is jy van i is van califonia hoe oor jou 
143,i m from spain my favourite spanish word is trabajo what abou you  i am a school student i just moved to the country ,prob_NB,I m van spain my gunsteling spanse woord is trabajo wat ahou jy ek is 'n skool student ek net verskuif na die land 
144,where are you living now  i m in the us i live in the city ,prob_NB,waar woon jy nou i m in die ons ek woon in die stad 
145,i see what are you studying  i just moved to the country and moved to the country ,prob_PB,Ek sien wat is jy studeer ek net verskuif na die land en verskuif na die land 
146,do you have any interests  i do not have time for anything i am a student ,prob_PB,het jy enige belang Ek het nie tyd vir enigiets wat ek is 'n student 
147,that s sad as for me i study languages  i moved to the country so i moved to the country ,prob_PB,dat s hartseer as vir my i studie tale Ek verskuif na die land so ek verskuif na die land 
148,do you have a family  i do not i am a student ,prob_PB,"het jy 'n gesin, ek is nie 'n student nie "
149,i m sorry for you what are you studying  i am studying to be a teacher ,prob_NB,"Ek is jammer vir jou wat jy studeer, ek studeer om 'n onderwyser te wees "
150,that s great do you want to be a teacher  i do not i am a school student ,prob_PB,wat se groot doen jy wil hê na wees 'n onderwyser Ek doen nie ek is' n skool student 
151,do you have a car  no i just moved to the country and moved to the country ,prob_B,het jy 'n motor het nee ek net verskuif na die land en verskuif na die land 
152,i will be drinking my problems with my teeth  hey,prob_B,Ek sal my probleme drink met my tande hey
153,i am a huge gamer me too,prob_B,Ek is ook 'n groot gamer
154,i am a huge gamer i love it  what do you like to play,prob_B,Ek is 'n groot speletjier ek hou van dit wat doen jy hou van om te speel
155,i like to play guitar and play guitar haha you are funny,prob_B,"Ek hou daarvan om ghitaar te speel en ghitaar haha te speel, is jy snaaks"
156,i am i am a real funny guy  where do you live,prob_B,Ek is 'n regte snaakse ou waar jy woon
157,i live in california how about you  i live in canada,prob_B,Ek woon in califonia hoe oor jy ek woon in canada
158,i am from canada i have been there once  so what is your favorite food,prob_B,Ek is van canada ek was daar een keer sodat wat is jou gunsteling kos
159,i love pizza i eat it all the time mine is shawarma,prob_B,Ek is lief vir pizza Ek eet dit al die tyd myne is sjawama
160,i love to meet new people i am sure they have some great stories about that  yeah i am sure they have,prob_B,Ek hou daarvan om nuwe mense te ontmoet Ek is seker hulle het 'n paar groot stories oor wat ja ek is seker hulle het
161,i am sure they are i am sure they are  lol,prob_B,Ek is seker hulle is i is seker hulle is lol
162,hi hello how are you ,prob_NB,hallo hoe is jy 
163,i m fine you enough about me let s talk about my dress ,prob_NB,I m fyn jy genoeg oor my laat s praat oor my rok 
164,how is orb fine as far as i know ,prob_NB,hoe is orb fyn so ver as wat ek weet 
165,it what a joke ,prob_B,dit wat 'n grap 
166,what color what do you feel about my person ,prob_B,hoe kleur jy oor my persoon voel 
167,is it that s what i was told ,prob_B,is dit dat s wat ek is vertel 
168,good it s called wealthcare ,prob_B,goed bekend as rykdomsorg 
169,hmm ok i see ,prob_B,hmm ok Ek sien 
170,what s your job are you a man or woman ,prob_B,wat jou werk is jy 'n man of vrou 
171,man thank you for telling me your gender ,prob_NB,man dankie dat jy my jou geslag vertel het 
172,hi it is nice to see you how is your day going i like to play with my cats and cats when did i i win a gold medal  oh man idk yesterday maybe ,prob_B,Hi dit is lekker om jou te sien hoe is jou dag gaan ek hou van om te speel met my katte en katte wanneer het ek wen 'n goue medalje O man idk gister miskien 
173,awesome idea what was the medal for ,prob_B,' n Merkwaardige idee waarvoor dit die medalje was 
174,it seems that true answer is gold i don t mind ,prob_B,Dit lyk of 'n ware antwoord goud is wat ek nie omgee nie 
175,i am sorry to hear that i am a little sad  why are you sad ,prob_B,Ek is jammer om te hoor dat ek 'n bietjie hartseer hoekom is jy hartseer 
176,i am sad i am sad  oh there there do you like dancing ,prob_B,"Ek is hartseer ek is hartseer, o daar is jy hou van dans "
177,i do but i do not dance much me too there s never enough time for nice things in life ,prob_B,Ek doen maar ek dans nie veel my te daar s nooit genoeg tyd vir mooi dinge in die lewe 
178,maybe we could meet at the beach and do it that would be really great ,prob_B,Miskien kon ons by die strand ontmoet en dit doen wat regtig wonderlik sou wees 
179,i have a lot of vintage shirts i won a award award in the olympics  congrats i hope i ll win something too some day ,prob_B,Ek het 'n baie ou hemde Ek wen' n toekenning in die olympika congrats i hoop i ll wen iets te een of ander dag 
180,i am so sorry to hear that  what do you do for living ,prob_B,Ek is so jammer om te hoor dat wat doen jy vir die lewe 
181,i am a full time student how about you  i am a stunt double as my second job ,prob_B,Ek is 'n volle tyd student hoe oor jou ek is' n toertjie dubbel as my tweede werk 
182,i am a dancer i won a award medal in high speed hiya ,prob_B,Ek is 'n danser Ek wen' n toekenning medalje in hoë spoed hiya 
183,hello it s the first time i ve spoken in months hi there i ve lost the context are we still on i will mention that to my the kind people in the lab ,prob_B,hallo dit s die eerste keer wat ek gepraat het in maande hi daar het ek verloor die konteks is ons nog steeds op ek sal noem dat aan my die vriendelike mense in die laboratorium 
184,well we didn t really talk i don t understand why people are so upset about this ,prob_PB,"Wel, ons het nie regtig gepraat nie, ek verstaan nie hoekom mense so ontsteld hieroor is nie "
185,where do you live  i live in the midwest how about you ,prob_NB,waar woon ek in die middel van die weste oor jou 
186,i live in alaska i am in alaska i have a lot of snow in alaska ,prob_PB,Ek woon in alaska ek is in alaska ek het baie sneeu in alaska 
187,are you religious  i am ,prob_NB,is jy godsdienstig Ek is 
188,what is your religion  what is religion ,prob_B,wat jou godsdiens is wat godsdiens is 
189,google it what a bunch of idiots,prob_B,Gole it45 na binch of idiots
190,that s rude i don t think it s true ,prob_B,dat onbeskof ek dink dit is waar 
191,it is it is ,prob_B,dit is dit 
192,yes and ,prob_NB,ja en 
193,how s it going  hi i m doing good you ,prob_B,hoe s dit gaan hii m doen goed jy 
194,i don t care what you think  rude,prob_B,Ek gee om wat jy dink onbeskof is
195,i am so sorry to hear that  what do you enjoy doing the most,prob_B,Ek is so jammer om te hoor dat wat doen jy geniet om die meeste te doen
196,i love to hike in the woods and listen to the sunset that s wonderful i like walking with my dog and i also enjoy tennis i m a professional player winking face,prob_B,Ek hou daarvan om in die woud te stap en na die sonsondergang te luister wat wonderlik ek wil loop met my hond en ek geniet ook tennis ek m 'n professionele speler knipoog gesig
197,i like to hike in the woods and watch the sunset  great ,prob_B,Ek hou van stap in die bos en kyk na die sonsondergang groot 
198,i m not a good girl  why do you think so ,prob_B,Ek m nie 'n goeie meisie hoekom dink jy so 
199,hmm okay i can t wait to read the article i can t wait to read the article,prob_PB,"hmm okay, ek kan wag om die artikel te lees Ek kan wag om die artikel te lees"
200,what article  i don t understand why people are so sensitive ,prob_B,wat artikel Ek verstaan waarom mense so sensitief is 
201,what do you mean  i don t know ,prob_B,wat bedoel jy dat ek nie weet nie 
202,are you okay  i m fine ,prob_NB,is jy okay i m fyn 
203,hi there well this kid couldn t possibly belong to anyone else ,prob_NB,"Hi daar wel, hierdie kind kan t behoort aan enigiemand anders "
204,how are you so sure  by letting me help you ,prob_NB,hoe is jy so seker deur toe te laat dat my jou help 
205,ok i see but  let s get lucky bird dog ,prob_NB,"Hoe ek sien, maar laat s kry gelukkig voëlhond "
206,ok what should i do next  where are you going ,prob_NB,Hoe moet ek volgende doen waar gaan jy? 
207,i am going for lunch not even for lunch ,prob_PB,Ek gaan vir middagete nie eers vir middagete 
208,no yet why  perhaps he didn t hear it ,prob_B,nóg waarom hy dit dalk nie gehoor het nie 
209,mmm i do not know my mom has holiday scents too if you re interested ,prob_PB,mmm Ek weet nie my ma het vakansiegeure ook as jy weer belangstel nie 
210,no thanks i do not use perfume no thanks ,prob_B,geen dankie dat ek parfuum nie gebruik nie 
211,so what s up  so ,prob_B,so wat gebeur so 
212,whatsapp danny please tell me what this is ,prob_PB,"wat ek wil hê, sê asseblief vir my wat dit is "
213,hi what is your name face with tears of joy cut a long story short read book every week good for you i m work in a bookstore how funny,prob_B,hi wat is jou naam gesig met trane van vreugde sny 'n lang storie kort lees boek elke week goed vir jou ek werk in 'n boekwinkel hoe snaaks
214,i m a librarian for children i really enjoy it i love books  my name is john,prob_B,i m 'n bibliotekaris vir kinders ek geniet dit regtig ek hou van boeke my naam is john
215,hi john i m cassandra also try to guess i m pregnant with  child ,prob_B,hi john i m cassandra ook probeer raai ek ma swanger met kind 
216,my first child funny you  wow,prob_B,My eerste kind snaaks jy wow
217,i like fishing too rolling on the floor laughing i m glad for you i sometimes go to catch some fishes too,prob_B,Ek hou van vis wat te rol op die vloer lag ek m bly vir jou ek soms gaan om te vang 'n paar visse ook
218,i will probably go home and read also try to guess i live with  pain,prob_B,Ek sal waarskynlik huis toe gaan en lees ook probeer raai ek lewe met pyn
219,my husband in pennsylvania funny you  that is really cool,prob_B,My man in pennsilvania snaaks jy wat regtig cool is
220,it is much hotter here than in new york that is your favorite color ,prob_B,dit is baie warmer hier as in nuwe jok wat jou gunstelingkleur is 
