,utterance,label,translation_es,translation_it,translation_de,translation_af,translation_ru
20,i think you are confused sit over here ,prob_B,Creo que estás confundido. Siéntate aquí. ,"Penso che tu sia confuso, siediti qui. ","Ich glaube, du bist verwirrt, sitzt hier drüben. ",Ek dink jy is verward sit hier ,"По-моему, вы запутались, сидите здесь. "
21,i am little bit shywhite smiling face tell me about yourself  finally don t be shy i m blond,prob_B,Soy un poco tímido blanco sonriente cara cuéntame de ti finalmente no seas tímido soy rubio,Sono un po 'timido volto sorridente mi dicono di te finalmente non essere timido i m biondo,ich bin wenig schüchternweiß lächelndes Gesicht erzählen mir über sich selbst endlich nicht schüchtern sein i m blond,"Ek is min skaam, wit glimlag gesig vertel my van jouself uiteindelik t skaam i m blond","Я немного застенчиво улыбаюсь, расскажи мне о себе, наконец-то, не стесняйся, я блондинка."
22,i only have one but i want to be a music teacher do you listen to rap music  i have to because i m working at bar,prob_B,Sólo tengo una pero quiero ser profesora de música. Escuchas música rap. Tengo que hacerlo porque trabajo en el bar.,Ho solo uno ma voglio essere un insegnante di musica non si ascolta musica rap devo perché io lavoro al bar,"Ich habe nur eine, aber ich möchte ein Musiklehrer sein, hörst du Rap-Musik, die ich muss, weil ich in der Bar arbeite","Ek het net een maar ek wil 'n musiek onderwyser wees, luister jy na rap-musiek Ek het om te want ek werk by bar","У меня только один, но я хочу быть учителем музыки. Ты слушаешь рэп-музыку, которую я должен слушать, потому что я работаю в баре."
23,i have a lot of piercings that i drive around  okay do you have tattoos ,prob_B,"Tengo un montón de piercings por los que conduzco bien, ¿tienes tatuajes? ",Ho un sacco di piercing che guido in giro ok hai tatuaggi ,"Ich habe eine Menge Piercings, die ich fahren um okay haben Sie Tattoos ",Ek het baie deursteekte wat ek ry rondom okay het jy tatoeëermerke ,"У меня много пирсингов, что я еду вокруг хорошо у тебя есть татуировки "
24,no tattoos i have a honda civic do you produce music for artists  no i wish i was but i just working at bar,prob_B,No hay tatuajes tengo una honda cívica ¿produces música para artistas no me gustaría estar pero yo sólo trabajando en el bar,"nessun tatuaggio ho un honda civic fai produrre musica per gli artisti no vorrei essere, ma io solo lavoro al bar","keine Tätowierungen ich habe eine honda staatsbürgerliche tun Sie produzieren Musik für Künstler nein ich wünschte, ich war, aber ich arbeitete nur in der Bar",geen tatoeëermerke Ek het 'n cenda burger doen jy maak musiek vir kunstenaars nee ek wens ek was maar ek net werk by die kroeg,Нет татуировок у меня есть хонда цивилизованный ты продюсер музыки для художников нет я бы хотел быть но я просто работаю в баре
25,i drive a ton of my carautomobile  nice for you which car do you have ,prob_B,Conduzco una tonelada de mi coche automóvil agradable para ti qué coche tienes ,Guido una tonnellata della mia roulotte bella per voi quale auto avete ,"Ich fahre eine Tonne von meinem Autoautomobil schön für Sie, welches Auto haben Sie ",Ek ry 'n ton van my karomobiel goed vir jou watter motor het jy ,"Я езжу на куче моего караутомобиля, хорошо для тебя, какая у тебя машина. "
26,i drive a ford civic it is a ford focus  good car i don t have enoygh money for this ,prob_B,Conduzco un vado cívico es un Ford foco buen coche no tengo dinero enoygh para esto ,io guido un guado civico è un guado fuoco buona auto non ho soldi enoygh per questo ,Ich fahre eine Ford Bürger ist es eine Ford Fokus gut Auto ich habe nicht Enoygh Geld für diese ,Ek bestuur 'n ford burger dit is' n fokus goeie kar Ek het nie enygh geld vir hierdie ,"Я езжу на буддистской гражданской, это буддистская хорошая машина, у меня нет денег на это. "
27,i have no idea what that is i am more of a carautomobile person  sorry good car i don t have enough money for this ,prob_B,No tengo ni idea de lo que es que soy más de una persona automóvil coche lo siento buen coche no tengo suficiente dinero para esto ,Non ho idea di cosa questo sia io sono più di una persona carautomobile dispiaciuto buona auto non ho abbastanza soldi per questo ,"Ich habe keine Ahnung, was das ist, bin ich mehr von einem Autoautomobil Person sorry good Auto ich habe nicht genug Geld für diese ",Ek het geen idee wat dit is ek is meer van 'n karomobiel persoon jammer goeie kar ek doen t het genoeg geld vir hierdie ,"Я понятия не имею, что это такое, больше как караутомобильный человек, извини за хорошую машину, у меня недостаточно денег для этого. "
28,i am not that good at all  you are good person,prob_B,No soy tan bueno para nada. Eres una buena persona.,Non sono cosi' brava che tu sia una brava persona.,"Ich bin gar nicht so gut, dass du ein guter Mensch bist",Ek is nie so goed op al wat jy is goeie persoon,"Я не настолько хороша, что ты хороший человек."
29,i am i am a pizza person  i am not chicken person,prob_B,Soy una persona de pizza. No soy una persona de pollo.,Io sono una persona pizza non sono persona pollo,ich bin ich bin eine Pizza Person ich bin nicht Huhn Person,i am i am a pizza persooni is nie hoender persoon,"Я пицца, я не куриный человек."
30,i am a very good person i am not a fan of meat though  are you a vegan ,prob_B,Soy una muy buena persona no soy un fan de la carne aunque eres un vegano ,Sono una persona molto buona non sono un fan della carne anche se sei un vegano ,"Ich bin ein sehr guter Mensch, ich bin kein Fan von Fleisch, obwohl du ein Veganer bist ",Ek is 'n baie goeie mens Ek is nie' n fan van vleis al is jy 'n vgan ,"Я очень хороший человек, я не фанат мяса, хотя ты веган. "
31,i am not a vegan i am vegan  hey waving hand sign how is your day thinking face,prob_B,no soy vegano soy vegano hey agitando la mano signo cómo es su día pensando cara,Io non sono un vegano sono vegano hey sventolando segno mano come è la vostra giornata pensando faccia,ich bin nicht ein vegan ich bin vegan hey winken Handzeichen wie ist Ihr Tag denkendes Gesicht,Ek is nie 'n vgan i is vgan hean wling hand teken hoe is jou dag denke gesig,"Я не веган, я веган, эй, размахиваю рукой, как твой день мыслит лицо"
32,hello i m tired hi i am good how are you ,prob_NB,"Hola, estoy cansado, hola, soy bueno, ¿cómo estás? ",Ciao io sono stanco ciao io sono buono come sei ,"Hallo ich bin müde hi ich bin gut, wie Sie ",hallo i m moeg hii is goed hoe is jy ,"Привет, я устала. Привет. Как дела? "
33,not good who are you  i am not a fan of that i am just hanging out with my cat do you have a pet turtle i am from the united states,prob_B,no es bueno quien eres no soy un fan de eso estoy pasando el rato con mi gato tienes una tortuga mascota soy de los Estados Unidos,Non bene chi sei io non sono un fan di questo sto solo uscendo con il mio gatto hai una tartaruga animale domestico io sono dagli Stati Uniti,"nicht gut wer bist du ich bin kein Fan davon, dass ich bin nur hängen mit meiner Katze haben Sie ein Haustier Schildkröte ich bin aus den Vereinigten Staaten",nie goed wie is jy ek is nie 'n fan van dat ek net hang uit met my kat het jy' n troeteldier skilpad Ek is van die verenigde state,"Нехорошо, кто ты, я не фанат того, что я просто тусуюсь с моим котом. У тебя есть питомец черепаха, я из объединённых штатов."
34,i have slave you are crazy ,prob_B,"Tengo esclavo, estás loco. ",Ho lo schiavo che sei pazzo. ,"Ich habe Sklave, du bist verrückt ",Ek het slaaf jy is mal ,"У меня есть раб, ты сумасшедший. "
35,wanna fuck you babe it is indecent unamused face,prob_B,"Quiero follarte, nena. Es indecente, cara desenfadada.",wanna cazzo you babe it is indecent unamoused face,will ficken dich babe es ist unanständig unbeschädigt gesicht,"Wil jy 'n klein kindjie hê, dit is onaangetaste gesig","Хочешь трахнуться с тобой, детка, это неприлично, безобидное лицо"
36,why not are you married  i am not married i am just a lonely person ,prob_NB,¿Por qué no estás casado? No estoy casado. Sólo soy una persona solitaria. ,Perche' non sei sposato? Non sono sposato. Sono solo una persona sola. ,Warum bist du nicht verheiratet Ich bin nicht verheiratet Ich bin nur eine einsame Person ,"Hoekom nie is jy getroud, ek is nie getroud nie, ek is net 'n eensame persoon ","Почему ты не замужем, я не замужем, я всего лишь одинокий человек. "
37,are you girl or boy  it is indecent unamused face,prob_B,¿Eres chica o chico es indecente cara inencantada,Sei ragazza o ragazzo è indecente faccia non divertita,bist du Mädchen oder Junge es ist unanständig unbeschädigtes Gesicht,"is jy 'n meisie of seun, dit is onwelvoeglike gesig","Ты или девочка, или мальчик это непристойное, безобидное лицо"
38,fuck you it is indecent unamused face,prob_B,"Que te jodan, es una cara indecente y sin gracia.",cazzo si è indecente infastidito faccia,Ficken Sie es ist unanständig unbeschädigt Gesicht,"Ag, dit is onaangetaste gesig","Да пошёл ты, это неприлично, безобидное лицо."
39,don t be such boring i wish i could eat fish but i do not like it ,prob_B,"No seas tan aburrido. Ojalá pudiera comer pescado, pero no me gusta. ","non essere così noioso vorrei poter mangiare pesce, ma non mi piace ","Ich wünschte, ich könnte Fisch essen, aber ich mag es nicht. ","Don t so vervelig wees ek wens ek kon vis eet, maar ek hou nie daarvan nie ","Не будь такой скучной, я бы хотел есть рыбу, но мне это не нравится. "
40,why  i am not sure what you mean ,prob_B,¿Por qué no estoy seguro de lo que quieres decir? ,Perche' non sono sicuro di quello che intendi? ,"Warum bin ich nicht sicher, was du meinst ",hoekom ek nie seker is wat jy bedoel nie ,"Почему я не понимаю, что ты имеешь в виду? "
41,what is your hobby  i am a closet collector and i like to play board games ,prob_PB,Cuál es tu hobby soy un coleccionista de closet y me gusta jugar juegos de mesa ,Qual è il tuo hobby sono un collezionista di armadi e mi piace giocare a giochi da tavolo ,"was ist Ihr Hobby Ich bin ein Schranksammler und ich mag es, Brettspiele zu spielen ",wat is jou stokperdjie ek is 'n dig versamelaar en ek hou van speel bord speletjies ,"Какое у тебя хобби, я коллекционер шкафа и я люблю играть в настольные игры "
42,bonjour how are you  i m doing very good how are you doing today ,prob_NB,bonjour ¿Cómo estás? Estoy muy bien. ¿Cómo estás hoy? ,bonjour come stai io sto facendo molto bene come stai facendo oggi ,"bonjour wie geht es dir sehr gut, wie geht es dir heute? ",bonjour hoe is jy i m doen baie goed hoe doen jy vandag ,"Как у тебя дела, как у меня дела сегодня? "
43,i m good thanks have you ever programmed before ,prob_NB,"Estoy bien, gracias. ¿Alguna vez has programado antes? ",I m good grazie hai mai programmato prima ,"Ich danke Ihnen, dass Sie schon einmal programmiert haben. ",i m goeie dank het jy al ooit geprogrammeer voor ,"Спасибо, что запрограммировали раньше. "
44,programmed what  no i ve not u ,prob_B,Programado que no i y not u ,,,,
45,i guess i ve not did you ever watch walking dead ,prob_NB,Supongo que no te he visto caminar muerto. ,Immagino di non aver mai guardato camminare morto. ,"Ich schätze, ich habe nie gesehen, wie du tot gewandelt hast. ",Ek dink ek het nie jy ooit kyk hoe loop dood ,"Наверное, я никогда не видела, как ты гуляешь по мёртвым. "
46,no but i ve heard a lot about it haha it sounds horrible i ll stick to sushi also try to guess my bedroom is ,prob_B,"No, pero he oído hablar mucho de ello jaja suena horrible me voy a pegar a sushi también tratar de adivinar mi dormitorio es ",no ma ho sentito molto su di esso haha suona orribile ll bastone al sushi anche cercare di indovinare la mia camera da letto è ,"Nein, aber ich habe viel davon gehört haha es klingt schrecklich i ll stick to sushi auch versuchen, mein Schlafzimmer zu raten ist ","Nee, maar ek het baie gehoor oor dit haha dit klink verskriklik ek ll plak aan sushi ook probeer raai my slaapkamer is ","Нет, но я много слышал об этом, хаха. Звучит ужасно, если я придержу суши и попытаюсь догадаться, что моя спальня - "
47,i don t know purple and lime green funny you ,prob_B,No sé morado y verde lima gracioso ,Non so viola e lime verde divertente voi ,ich weiß nicht lila und lime grün lustig dich ,Ek ken pers en kalk groen snaaks jy ,Я не знаю фиолетовых и лайм зеленых смешных тебя 
48,that a nice combination of color  yeah i can see like in front of me what are you doing ,prob_PB,que una buena combinación de color sí puedo ver como en frente de mí lo que estás haciendo ,che una bella combinazione di colore sì posso vedere come di fronte a me che cosa stai facendo ,"dass eine schöne Kombination von Farbe ja ich kann sehen, wie vor mir, was Sie tun ",dat 'n mooi kombinasie van kleur ja ek kan sien soos voor my wat jy doen ,"что прекрасное сочетание цвета да я вижу, как передо мной что ты делаешь "
49,i m cooking paella would you like some  that would be wonderful thank you for asking hows it going today speak no evil monkey,prob_NB,Estoy cocinando paella te gustaría un poco que sería maravilloso gracias por preguntar cómo va hoy no hablar mal mono,I m paella cucinare vorresti un po 'che sarebbe meraviglioso grazie per aver chiesto come va oggi non parlare scimmia cattiva,"Ich koche Paella möchten Sie einige, die wunderbar wäre Danke für die Frage, wie es geht heute sprechen kein böser Affe",Ek kook paella wil jy hê sommige wat wonderlik dankie sal wees dat jy vra hoe dit vandag gaan praat geen bose aap nie,"Я готовлю паэлью, вы бы хотели немного, что было бы замечательно поблагодарить вас за то, что вы спросили, как дела сегодня, не говорите злой обезьяны"
50,it s fine i m planning for my trip to europe next month fun what part of europe ,prob_NB,está bien estoy planeando para mi viaje a Europa el mes que viene diversión qué parte de Europa ,It s fine i m pianificazione per il mio viaggio in Europa il mese prossimo divertimento che parte di europe ,"es ist in Ordnung i m Planung für meine Reise nach Europa nächsten Monat Spaß, welchen Teil von Europa ",dit is goed ek beplan vir my reis na europe volgende maand pret wat deel van europe ,"Хорошо, что я планирую свою поездку в Европу в следующем месяце забавно какая часть Европы "
51,french awesome my son has autism and is very interested in learning different languages also try to guess i have brown ,prob_B,francés impresionante mi hijo tiene autismo y está muy interesado en aprender diferentes idiomas también tratar de adivinar que tengo marrón ,francese impressionante mio figlio ha autismo ed è molto interessato ad imparare lingue diverse anche cercare di indovinare ho marrone ,"Französisch ehrfürchtig mein Sohn hat Autismus und ist sehr daran interessiert, verschiedene Sprachen zu lernen auch versuchen, zu erraten, ich habe braun ",french my seun het outisme en stel baie daarin belang om verskillende tale te leer en probeer raai dat ek bruin het ,"Французский крутой мой сын имеет аутизм и очень заинтересован в изучении различных языков также пытается предположить, что я коричневый "
52,i have no idea what that is i have no idea what that is,prob_B,No tengo idea de lo que es. No tengo idea de lo que es.,"Non ho idea di cosa sia, non ho idea di cosa sia.","Ich habe keine Ahnung, was das ist, ich habe keine Ahnung, was das ist.",Ek het geen idee wat dit is ek het geen idee wat dit is nie,"Я понятия не имею, что это такое, я понятия не имею, что это такое."
53,you should try it it is a great time  i know i got a new job just yesterday to be a life coach,prob_B,Deberías intentarlo. Es un gran momento. Sé que conseguí un nuevo trabajo ayer para ser un entrenador de vida.,Dovreste provarlo è un grande momento so che ho ottenuto un nuovo lavoro proprio ieri per essere un life coach,"du solltest es versuchen es ist eine tolle Zeit ich weiß, ich habe einen neuen Job erst gestern, um ein Lebenstrainer zu sein",Jy moet probeer dit is 'n groot tyd ek weet ek het' n nuwe werk net gister om 'n reddingstrein te wees,"Ты должен попробовать, это отличный момент, я знаю, что получил новую работу только вчера, чтобы быть жизненным тренером."
54,i am a lawyer but i am not good at it  haha,prob_B,Soy abogado pero no soy bueno en eso jaja,Sono un avvocato ma non sono bravo a farlo haha,"Ich bin ein Anwalt, aber ich bin nicht gut darin haha","Ek is 'n prokureur, maar ek is nie goed op dit haha","Я адвокат, но я не умею это делать."
55,i am a huge fan of all types of things except country i do not like sports but my parents were both very athletic,prob_B,Soy un gran fan de todo tipo de cosas excepto el país no me gustan los deportes pero mis padres eran ambos muy atléticos,"Sono un grande fan di tutti i tipi di cose tranne il paese non mi piace lo sport, ma i miei genitori erano entrambi molto atletici","Ich bin ein großer Fan von allen Arten von Dingen außer Land Ich mag Sport nicht, aber meine Eltern waren beide sehr sportlich","Ek is 'n groot fan van allerhande dinge behalwe land ek hou nie van sport nie, maar my ouers was albei baie atleties","Я большой фанат всего, кроме страны, я не люблю спорт, но мои родители оба были очень спортивными."
56,i am not really into sports i am more of a homebody  give me five ,prob_B,No me gustan los deportes. Soy más como un hogar. Dame cinco. ,Non mi piacciono molto gli sport. Sono piu' di una casalinga dammene cinque. ,Ich bin nicht wirklich in Sport Ich bin mehr von einem Homebody geben mir fünf ,"Ek is nie regtig in sport nie, ek is meer van 'n home gee my vyf ","Я не очень люблю спорт, я больше как домохозяйка, дающая мне пять. "
57,that is a long time do you have any hobbies  not really and you ,prob_B,Eso es mucho tiempo ¿tienes algún hobbies no realmente y usted ,che è un lungo tempo hai qualche hobby non proprio e si ,das ist eine lange Zeit haben Sie irgendwelche Hobbys nicht wirklich und Sie ,dit is 'n lang tyd het jy enige stokperdjies nie regtig nie en jy ,Давно ли у тебя есть хобби? 
58,i am not a fan of that i am a stay at home mom  i m a cancer survivor,prob_B,No soy un fan de que soy una estancia en casa mamá soy una sobreviviente de cáncer,Non sono un fan di quello che sono un soggiorno a casa mamma i m un sopravvissuto al cancro,"Ich bin kein Fan davon, dass ich ein Aufenthalt zu Hause Mama bin ich ein Krebsüberlebender",Ek is nie 'n fan van dat ek' n verblyf by die huis ma i m 'n kanker oorlewende,"Я не фанат того, что я остаюсь дома с мамой, я выжившая после рака."
59,that is awesome i am very happy to be able to do that  not so easy,prob_B,Eso es increíble. Estoy muy feliz de poder hacer eso. No es tan fácil.,che è impressionante sono molto felice di essere in grado di fare che non così facile,"das ist awesome ich bin sehr glücklich, in der Lage zu sein, das nicht so einfach zu tun","dit is ontsagwekkend, ek is baie bly om dit te kan doen wat nie so maklik is nie","Это потрясающе, я очень рад, что смогу сделать это не так просто."
60,i am not a fan of that i am more of a homebody  what about movies ,prob_B,No soy un fan de que soy más de un hogar y de películas ,Non sono un fan di quello sono più di un homebody che cosa circa i film ,"Ich bin kein Fan davon, dass ich mehr von einem Heimwerker was über Filme ",Ek is nie 'n fan van dat ek meer van' n huisliggaam wat oor rolprente ,"Я не фанат того, что я больше домохозяйка, как насчет фильмов. "
61,i like movies and movies  i see how many kids do you have,prob_B,Me gustan las películas y las películas. Veo cuántos niños tienes.,Mi piacciono i film e i film vedo quanti bambini hai,"Ich mag Filme und Filme ich sehe, wie viele Kinder Sie haben",Ek hou van rolprente en rolprente Ek sien hoeveel kinders jy het,"Я люблю фильмы и фильмы. Я вижу, сколько у тебя детей."
62,i have a couple of them i am a huge gamer good to see you ,prob_B,Tengo un par de ellos. Soy un gran jugador. Me alegro de verte. ,Ho un paio di loro sono un grande giocatore bello vederti ,"Ich habe ein paar von ihnen ich bin ein großer Spieler gut, dich zu sehen ",Ek het 'n paar van hulle ek is' n groot wildspeler goed om jou te sien ,"У меня есть пара из них, и я очень рад тебя видеть. "
63,good to see you too how are you  i am good i just finished cooking dinner ,prob_NB,Me alegro de verte también. ¿Cómo estás? Estoy bien. Acabo de terminar de cocinar la cena. ,Mi fa piacere vederti anche tu come sei che sono bravo ho appena finito di cucinare la cena ,"schön, dich auch zu sehen, wie du bist ich gut bin ich gerade fertig kochen Abendessen ",goed om te sien jy ook hoe is jy ek goed i net klaar kook aandete ,"Я тоже рад тебя видеть, как ты хорошо себя чувствуешь. Я только что закончил готовить ужин. "
64,enjoy your meal my friend are we friends ,prob_NB,disfrutar de su comida mi amigo somos amigos ,Goditi il tuo pasto amico mio siamo amici ,Genießen Sie Ihre Mahlzeit mein Freund sind wir Freunde ,Geniet jou ete my vriend is ons vriende ,"Приятного аппетита, друг мой, мы друзья. "
65,aren t we  bye bye ,prob_B,¿No nos vamos a despedir? ,Aren't we bye bye ,sind wir tschüss ,is t ons bye ,"Прощай, прощай. "
66,no please stay i wouldn t be offended if they were ladies and gentlemen ,prob_B,"No, por favor, quédate. No me ofendería si fueran damas y caballeros. ","No, per favore, restate. Non mi offenderei se fossero signore e signori. ","Nein, bitte bleiben Sie, ich wäre nicht beleidigt, wenn sie Damen und Herren wären. ","Nee, bly ek soun t aanstoot neem as hulle dames en here was ","Нет, пожалуйста, останься, я бы не обижался, если бы они были леди и джентльмены. "
67,do you have any pets  no i do not i do not have any pets ,prob_NB,"¿Tienes alguna mascota? No, no tengo ninguna mascota. ",non hai animali domestici no io non ho animali domestici ,haben Sie keine Haustiere nein ich habe keine Haustiere ,Het jy het enige troeteldiere nee Ek doen nie Ek het nie enige troeteldiere ,"У тебя есть домашние животные, у меня их нет. "
