,label,translation_ru
70,prob_B,"Я студент колледжа, изучающий бизнес и работающий в пиццерии, где я работаю на заправке."
71,prob_B,"Откуда ты родом из Кали, я живу в Лондоне."
72,prob_B,"Я живу в Охио на ферме и пытаюсь догадаться, что у меня есть две собаки."
73,prob_B,"Винтаж - это смешно. О, это мило."
74,prob_B,"Да, я так думаю, но это требует много терпения, как ты себя чувствуешь сегодня вечером"
75,prob_B,"Я хорошо жду, когда мои парни вернутся домой. Есть ли у тебя фобия? "
76,prob_B,"Конечно, живя рядом с пигмеями, я сплю с открытым глазом, как насчет того, что ты не слышишь злобную обезьяну О Боже, жаль слышать, что я боюсь клоунов"
77,prob_B,"Это мои родители судятся со мной, так что я возвращаюсь домой на праздники и пытаюсь догадаться, что моя любимая музыка - это страна."
78,prob_B,"Странно, что ты забавный. "
79,prob_B,"Я ценю твою благодарность, привет, как тебя зовут, слёзы радости. Я ем только кошер."
80,prob_NB,"Привет, привет, как дела? "
81,prob_NB,"Я в порядке, а ты в порядке. Я только что вернулся из поездки в Норвей. "
82,prob_NB,Ты забавный год. 
83,prob_NB,"Я тоже люблю книги, я ходила в школу по химии, но работала в книжном магазине, где ты работаешь. Я не ухожу в отставку."
84,prob_B,"Я соревнуюсь сегодня в собачьих классах, любишь ли ты собак, я работаю в компании по недвижимости, и пытаюсь предположить, что я вырос "
85,prob_PB,В джунглях в семье с одним родителем ты забавный 
86,prob_PB,"Я слышал, что у многих людей была та же ситуация, но нет, мне плевать на моду, которая хороша, я люблю тратить много денег на свои хобби, откуда ты родом. "
87,prob_NB,"Я из Индии, что твой хобби я люблю писать, потому что это моя любимая работа, что ты делаешь ради веселья "
88,prob_B,"Я танцую по выходным, ты любишь танцевать, я люблю танцевать в любое время, когда придёт выпускной. "
89,prob_B,"Я ненавижу апельсиновый цвет, есть ли у вас что-нибудь оранжевое, чтобы сжечь Исайя сыпь у него есть оранжевая рубашка они мой любимый художник также пытается угадать, что я трюк двойной "
90,prob_B,Это так мило с твоей стороны сколько тебе лет 
91,prob_B,Я такой странный возраст. 
92,prob_B,"Да, я уверена, что у тебя есть интересный хобби. "
93,prob_B,"Да, но я люблю читать и делать короткие истории крутыми и я люблю смотреть военные документальные фильмы"
94,prob_B,"Я тоже люблю смотреть фильмы, которые тебе нравятся. "
95,prob_B,"Мне нравятся все виды того, что у тебя документальный фильм."
96,prob_B,"Я люблю документальные фильмы, документальные фильмы, и они делают много из них, ты такой забавный. "
97,prob_B,"Я так забавна, что знаю и не такая глупая, как сири. "
98,prob_B,"Я слышал, что шоу это не шоу, оно срабатывает, как ты."
99,prob_B,"Мне нравятся мультфильмы шоу, мне нравятся мультфильмы шоу, что еще ты любишь. "
100,prob_B,"Я люблю слушать музыку, я люблю читать и писать, я студент. "
101,prob_NB,"Я тоже ученик искусства, я учусь, чтобы стать учителем. "
102,prob_PB,"Я уверен, что он хороший парень. "
103,prob_B,"Кто такой Колумбус, идите туда. "
104,prob_B,"Иди туда, где я достану тебе пистолет. "
105,prob_B,"Я не хочу пистолет, я студентка, я учусь, чтобы стать учителем. "
106,prob_PB,"Я тоже учусь в колледже, чтобы стать учителем. "
107,prob_NB,"Я знаю, ты сказал мне, что я студент, так что я могу говорить по-французски. "
108,prob_NB,"Я говорю по-французски, я хожу в Европу два раза в год, люблю франк, говорю по-французски, говорю по-французски. "
109,prob_PB,"Знаю, но я не хочу быть рыбаком. "
110,prob_PB,Почему я не знаю 
111,prob_NB,"Здравствуйте, мужик, я бургер, как поживаете? "
112,prob_PB,"Я могу есть их иногда, но не очень часто я люблю есть и есть"
113,prob_NB,Ты любишь пить спиртное улыбающееся лицо с улыбающимися глазами я не пью много алкоголя но я люблю есть
114,prob_NB,"Да, я вижу, что ты действительно любишь есть то, что я люблю, и есть с моими родителями."
115,prob_NB,"Вам повезло, что мои родители умерли давным-давно, мне очень жаль это слышать. "
116,prob_NB,"  Кричите в лицо, привет, как дела?"
117,prob_NB,"Я в порядке, чем ты зарабатываешь на жизнь "
118,prob_NB,"Я учительница по шахматам и математике, это круто. Я люблю готовить тебе фаната цепочек курильщиков. "
119,prob_NB,"Не волнуйся, я никогда не выходил из школы. "
120,prob_PB,"У тебя есть долгая жизнь до того, как я никогда не был в Калифорнии, если это не подделка, тогда почему у меня три больших пальца "
121,prob_NB,"Привет, Джонтан, как дела? "
122,prob_NB,"Хорошо, что я хорошо справляюсь. Как насчет тебя? "
123,prob_PB,Какая твоя любимая деятельность я люблю ходить в походы
124,prob_NB,"Мины взбираются на скалы, что круто, что я люблю прогуляться. "
125,prob_NB,"Хорошо, я хорошо справляюсь, как насчет тебя. "
126,prob_NB,что ты и я работаем в местной газете 
127,prob_PB,"Я - инженер-механик, который крутой, я работаю в компьютерной компании. "
128,prob_PB,"У меня есть лаборатория по имени черный отряд, который крутой, у меня есть лаборатория. "
129,prob_PB,где я живу на Среднем Западе на Среднем Западе
130,prob_PB,"Откуда ты родом, я живу в нашем доме."
131,prob_B,"Эй, что улыбающееся лицо с открытым ртом и холодным потом некоторые факты обо мне я люблю играть в софтбол эй, мужик, я не знаю, что такое софтбол"
132,prob_B,"Ты имеешь в виду работу, ты любишь играть в спорт я немного в футбол не слышу злобную обезьяну, которую я нанимаю по почте "
133,prob_B,Где ты из Франции?
134,prob_B,"Ты действительно делаешь по-французски, как страшные фильмы. Да, они любят это."
135,prob_B,"Да, я тоже делаю звук музыки приходит на ум, как твой вечер идет в лицо бросая поцелуй хорошего человека просто расслабляющийся"
136,prob_B,"Забавно, что я играю со своими игуанами также пытаюсь угадать, что я работаю в софтболе. "
137,prob_B,"Ты не отвечаешь на мой вопрос. Я могу сообщить, что ты встретишься с застрявшим языком и подмигивающим глазом."
138,prob_B,"Думаешь, собак можно научить читать хаха, я так не думаю?"
139,prob_B,"Да, они очень рады видеть тебя, я только что переехала в страну и переехала в страну. "
140,prob_NB,"Здравствуй, какая ты страна, из Калифорнии. Как насчет тебя? "
141,prob_NB,"Я из Спайна, мое любимое испанское слово - Трабахо, что ты школьник, которого я только что переехал в страну. "
142,prob_NB,Где ты теперь живёшь? Я живу в городе. 
143,prob_PB,"Я вижу, что ты учишься, я только что переехала в страну и переехала в страну. "
144,prob_PB,"У тебя есть какие-то интересы, у меня нет времени на то, что я студентка? "
145,prob_PB,"что мне грустно из-за того, что я изучаю языки, я переехала в страну, так что я переехала в страну. "
146,prob_PB,"У тебя есть семья, а я не студентка? "
147,prob_NB,"Мне жаль, что ты учишься, а я учусь, чтобы стать учителем. "
148,prob_PB,"Ты хочешь быть учителем, а я не школьница. "
149,prob_B,"У тебя есть машина? Нет, я только что переехала в страну и переехала в страну. "
150,prob_B,Я буду пить свои проблемы зубами эй
151,prob_B,Я тоже большой геймер.
152,prob_B,"Я большой геймер, я люблю то, что ты любишь играть."
153,prob_B,Я люблю играть на гитаре и играть на гитаре хаха ты забавный
154,prob_B,"Я очень смешной парень, где ты живёшь."
155,prob_B,"Я живу в Калифорнии, как насчет тебя, я живу в Канаде"
156,prob_B,"Я из Канады, я был там однажды, так что какая твоя любимая еда"
157,prob_B,"Я люблю пиццу, я ем ее все время, когда моя шаварма."
158,prob_B,"Я люблю знакомиться с новыми людьми, я уверена, что у них есть отличные истории о том, что да, я уверена, что у них есть."
159,prob_B,"Я уверена, что это они. Я уверена, что они Лол."
160,prob_NB,"Привет, как дела? "
161,prob_NB,Давай поговорим о моем платье. 
162,prob_NB,"Насколько я знаю, какова хорошая Марб? "
163,prob_B,Что за шутка? 
164,prob_B,Какого цвета ты чувствуешь к моему человеку? 
165,prob_B,"Это то, что мне сказали "
166,prob_B,"Хорошо, что это называется ""страх богатства"" "
167,prob_B,Понятно. 
168,prob_B,В чем твоя работа? Ты мужчина или женщина. 
169,prob_NB,"Спасибо, что рассказал мне свой пол. "
170,prob_B,"Приятно видеть, как проходит твой день, я люблю играть с моими кошками и кошками, когда я вчера выиграл золотой медалью. "
171,prob_B,"Потрясающая идея, для чего была медаль "
172,prob_B,"Похоже, настоящий ответ - золото, я не возражаю. "
173,prob_B,"Мне жаль слышать, что мне немного грустно, почему ты грустишь. "
174,prob_B,"Мне грустно, мне грустно. Тебе нравится танцевать. "
175,prob_B,"Да, но я не слишком много танцую, и у меня никогда не будет достаточно времени для хороших вещей в жизни. "
176,prob_B,"Может быть, мы могли бы встретиться на пляже и сделать это, это было бы действительно здорово "
177,prob_B,"У меня много винтажных рубашек, которые я выиграл наградой на Олимпиаде, я надеюсь, что когда-нибудь я тоже выиграю что-нибудь. "
178,prob_B,"Мне так жаль слышать, что ты зарабатываешь на жизнь. "
179,prob_B,"Я учусь полный день, как насчет тебя, я трюк-двойник, как моя вторая работа. "
180,prob_B,"Я танцовщица, я выиграла медаль в высокоскоростной хии. "
181,prob_B,"Здравствуйте, это первый раз, когда я разговаривала с вами за несколько месяцев. Я потеряла контекст. "
182,prob_PB,"Ну, мы не разговаривали на самом деле, я не понимаю, почему люди так расстроены из-за этого "
183,prob_NB,Где ты живёшь Я живу на Среднем Западе Как насчет тебя 
184,prob_PB,"Я живу в аласке, я в аласке, у меня много снега в аласке. "
185,prob_NB,Ты религиозный я 
186,prob_B,"Что такое вера ваша, что есть религия? "
187,prob_B,google it what a bunch of idiots
188,prob_B,"Это грубо, я не думаю, что это правда. "
189,prob_B,Так и есть. 
190,prob_NB,"- да, и "
191,prob_B,"Привет, я делаю доброе дело. "
192,prob_B,"Мне все равно, что ты считаешь грубым."
193,prob_B,"Мне так жаль слышать, что тебе нравится делать больше всего"
194,prob_B,"Я люблю ходить по лесу и слушать закат, который чудесно я люблю ходить со своей собакой, и я также наслаждаюсь теннисом Я профессиональный игрок подмигивая лицо"
195,prob_B,Я люблю ходить по лесу и наблюдать за закатом. 
196,prob_B,"Я не хорошая девочка, почему ты так думаешь? "
197,prob_PB,"Хорошо, я не могу дождаться, чтобы прочитать статью, я не могу дождаться, чтобы прочитать статью."
198,prob_B,"Я не понимаю, почему люди такие чувствительные. "
199,prob_B,"Что значит ""я не знаю""? "
200,prob_NB,"Ты в порядке, я в порядке. "
201,prob_NB,"Здравствуйте, этот парень не может принадлежать кому-то другому. "
202,prob_NB,"Почему ты так уверена, позволив мне помочь тебе? "
203,prob_NB,"Ладно, я вижу, но давай получим счастливую птичку. "
204,prob_NB,"Ладно, что мне делать дальше, куда ты идешь? "
205,prob_PB,Я иду обедать даже не на обед. 
206,prob_B,"пока нет, почему, возможно, он не услышал "
207,prob_PB,"Ммм, я не знаю, у моей мамы тоже есть праздничные запахи, если тебе интересно. "
208,prob_B,"Нет, спасибо, я не пользуюсь духами. "
209,prob_B,"Итак, что же это такое? "
210,prob_PB,"Скажи мне, пожалуйста, что это такое? "
211,prob_B,"Привет, как тебя зовут, слёзы радости вырезают длинный рассказ, короткая книга каждую неделю хорошо для тебя Я работаю в книжном магазине как смешно"
212,prob_B,"Я библиотекарь для детей, мне очень нравится, я люблю книги, меня зовут Джон."
213,prob_B,"Привет, Джон, я и Кассандра тоже пытаюсь догадаться, что я беременна ребёнком. "
214,prob_B,мой первый ребёнок забавный ты вау
215,prob_B,"Я люблю рыбачить на полу, смеяться над тобой. Я рад, что иногда иду ловить рыбу."
216,prob_B,"Я, наверное, пойду домой и почитаю, попробую угадать, что живу с болью."
217,prob_B,Мой муж в Пенсильвании забавный ты очень крутой
218,prob_B,"Здесь намного жарче, чем в Нью-Йорке, который твой любимый цвет. "
219,prob_B,"Нет Тил - ты играешь в то, что"
220,prob_B,Мяу с палкой 
221,prob_B,"Я тоже кошек, сколько детей никогда не было навещать. "
222,prob_B,"Эй, у меня еще есть две собаки. Привет, я секретарь в больнице. "
223,prob_NB,"Эй, это интересная работа. Да, мне нравится, что ты любишь спорт. "
224,prob_NB,Нравится ли тебе? Мне нравится. 
225,prob_PB,"Да, особенно плавание, я люблю плавать, но я не большой фанат плавания."
226,prob_NB,Почему я не знаю 
227,prob_PB,"Что тебе нравится в море, я не знаю. "
228,prob_B," годы так молоды, и я уже "
229,prob_B,"Я не уверен, что смогу найти работу. "
230,prob_B,Это неправильная подсказка первые буквы tw попробуйте снова не волнуйтесь
231,prob_B,"По-моему, настоящий ответ - два приветливых улыбающихся лица с солнцезащитными очками вырезают длинный рассказ с короткой книгой каждую неделю."
232,prob_NB,"Привет, эй, я верю, что мы никогда не встречались. "
233,prob_NB,"Почему вы живете в плохой части Калифорнии, как насчет этих лесных пожаров? "
234,prob_NB,"Это ужасно, спасибо, что тебе еще нравится. "
235,prob_NB,"Я бы хотел, чтобы время остановило это просто маленький стенд, я был бы признателен, если бы у тебя были хобби "
236,prob_B,"У меня есть суперсилы, так что моё хобби - использовать их то, чего ты пока нет, но ты можешь готовить для меня я веган, так что может быть трудно также попытаться угадать, что я беременна "
237,prob_NB,Малыш мой первый ребёнок забавный ты 
238,prob_B,"То, что ты любишь делать в своей пицце свободного времени, не так уж и вкусно между татуировками и серебряными украшениями. "
239,prob_PB,"Мы можем быть друзьями, я очень одинок, иногда ты говоришь одиноко, это похоже на то, что ты создан для того, чтобы также попытаться угадать мой любимый вид "
240,prob_NB,"Что-то вроде фильма, это документально смешно. "
241,prob_B,"Ты любишь облака, это значит, что тебе нравятся двери, как идут дела? "
242,prob_B,"Привет, приятель."
243,prob_B,"Я болен. Думаю, пора запретить поездки. "
244,prob_B,Почему я не плохой человек 
245,prob_PB,"Кто ты, я тот, кто здесь. "
246,prob_NB,"И что ты делаешь, я ищу тебя. "
247,prob_B,"Для того, чего я не знаю. "
248,prob_B,"Вы мужчина или женщина, нет "
249,prob_B,"Зверь, которого у меня нет, я старый. "
250,prob_B,"Сколько лет, я не уверена, что "
251,prob_PB,"Что ты делаешь, я просто немного запуталась. "
252,prob_B,"Как я могу быть в порядке, спасибо что насчет тебя "
253,prob_B,"Я хорошо, ты студентка, я в колледже не говорю злой обезьяны нет я работал на почтовую службу но я теперь безработный"
254,prob_B,"Вау, это безумие, что ты делаешь в свободное время, когда у тебя улыбающееся лицо, я играю с моим немецким пастырем."
255,prob_B,"Нет, ты играешь им в лицо со слезами радости, что ты имеешь в виду? "
256,prob_B,"Я разговариваю, когда я сплю, иногда я в порядке, что ты задумал, я просто смотрю ТВ шоу"
257,prob_B,какое твоё любимое шоу я не должен смотреть телевизор в школьные вечера я люблю рэп-гонки rupauls
258,prob_B,"Приятно, что я, скорее, медленный и неуклонный тип, выигрывает гонку, а также пытается угадать мое любимое испанское слово: "
259,prob_B,word is work funny you what does work mean
260,prob_B,"Ну, она думает, что окд правит моей жизнью, она, вероятно, права, я борюсь с отказом от контроля "
261,prob_B,"Да, это то, что я ненавижу общаться, я так нервничаю как ты делаешь это вечером робот лицом эй, махающий рукой, как твой день думает лицо"
262,prob_B,"Не очень-то я ненавижу школу так сильно, что я большой фанат торта, но я не хорош в этом. Ты любишь черное сердце, чтобы испечь печенье. "
263,prob_PB,"Я не знаком с тем, что ты боишься умирать. "
264,prob_NB,"Да, даже несмотря на то, что мне всего лишь годы, и сколько тебе мне лет, и я большой фанат цветов."
265,prob_NB,"расскажи, как ты выглядишь, как я очень короткая и трудно быть честной."
266,prob_NB,"У меня голубые глаза и длинные рыжие волосы, что странно, что я немного старше и люблю татуировки. "
267,prob_PB,"Почему это странно, я не думаю, что это хорошая вещь. "
268,prob_B,"Если у меня рыжие волосы, то это не хорошо, что мне придётся проверить, что я не ищу новую работу. "
269,prob_PB,"Я - девушка, а ты - кошка, я - кошачья леди. "
270,prob_B,"Я больше собачник, у меня есть кошка, которая похожа на носок. "
271,prob_B,"Здравствуй, думай в лицо, привет."
272,prob_NB,"Как насчет тебя, я хорошо справляюсь Я слушаю кантри-музыку "
273,prob_NB,"Нет, у меня нет у тебя, я не очень старый человек ты работаешь на моих родителей фермы "
274,prob_NB,"Нет, я не делаю тебе ничего, я не хиппи."
275,prob_B,"Круто, каково ваше великое приключение в жизни, я бы не сказал имени моей страны. "
276,prob_B,"Почему я не знаю, что это значит? "
277,prob_NB,"Ты любишь пиццу, я люблю пиццу с пиццей, но я не ем мясо. "
278,prob_NB,"Значит, ты веган, а я не веган. "
279,prob_NB,"Так что я фермер, я живу с моими родителями. "
280,prob_B,"Ладно, я деревенщина и обожаю черную кантри-музыку. "
281,prob_B,"Эй, размахивая рукой, расскажи мне о себе, привет, я беременна. "
282,prob_B,"Я очень счастлива быть замужем. Мне всего лишь годы, у тебя есть дети."
283,prob_B,"Я больше не отшельник, ты студентка. "
284,prob_B,"Я студент, я много путешествую, куда ты путешествуешь."
285,prob_B,"Я останусь дома, мама расскажет мне факты о тебе."
286,prob_B,"Я останусь дома, мама, я шеф-повар, чем ты занимаешься, чтобы жить. "
287,prob_B,"Я останусь дома, мама. Твой любимый музыкальный жанр. "
288,prob_B,Я люблю кантри-музыку. А ты - рокер.
289,prob_B,"Круто, я очень опытный человек. Ты боишься чего-то. "
290,prob_B,"Нет, я не очень хороший человек, что ты любишь делать в свободное время "
291,prob_B,"Я люблю сходить поесть и поесть привет, Дэнни."
292,prob_PB,"Я удивлена, что ты все еще там, на самом деле. "
293,prob_NB,"Да, я эй, что мне делать, если я увижу Бенни "
294,prob_B,"Передай ему привет, как привет, Бенни Судьба забрал твою жену и храбрость, он отвез их на фабрику акм. "
295,prob_PB,"Вау, это плохая фабрика по производству акм - опасное место, где он опасен, Дэнни. "
296,prob_NB,"Да, я знаю, что лучше позвонить в полицию. "
297,prob_NB,"Потому что он очень опасен, если только ты не знаешь, как с этим справиться. "
298,prob_NB,"Я предпочитаю не справляться сама, я справлюсь с этим. "
299,prob_B,"Спасибо, Алекс, спасибо. "
300,prob_B,"Пожалуйста, идите и спасите их, спасибо, что линия мертва. "
301,prob_B,"Здравствуйте, я люблю играть на гитаре, я играю на гитаре сколько лет я начал привет Я продюсировал музыку так что у нас есть что-то общее "
302,prob_B,"Я кантри-певец, я люблю музыку, которую я люблю рэп."
303,prob_B,"Я люблю рэп-музыку, я тоже люблю, какую еду ты любишь больше всего. "
304,prob_B,"Я люблю еду, люблю еду, какую еду. "
305,prob_B,"Я люблю итальянскую еду. О, я тоже люблю пиццу."
306,prob_B,Я люблю пиццу. Я кантри-певец. Ты любишь животных. 
307,prob_B,"Я люблю животных, у меня есть собака, которую зовут твои собаки. "
308,prob_B,Меня зовут Джим У меня есть собака по имени Радар мой собаки по имени Чарли
309,prob_B,"Привет, Боб. Я кантри-певец, я думал, ты Джим."
310,prob_B,"Я не хочу быть твоим фанатом, но мне это не нравится."
311,prob_B,"Потрясающе, привет, как твоё дневное подмигивающее лицо?"
312,prob_B,"Хорошо, что я не фанат машины, но мои собаки обожают вас. "
313,prob_NB,"Да, я люблю мустанги, они мои любимые. "
314,prob_NB,"Ваша работа, я механик, а что насчет вас? "
315,prob_NB,Где ты живёшь Я живу в Нью-Йорке Как насчет тебя где ты не видишь злой обезьяны
316,prob_NB,"Какое у тебя хобби, я люблю ездить на своих винтажных фордах, где ты не видишь злой обезьяны."
317,prob_B,"Знаешь, Айван, я знаю, что это очень весело."
318,prob_PB,"Знаешь, я думаю, "
319,prob_B,"Что, по-твоему, можно разрушать, это был секрет, но я думаю, что это было бы хорошее время. "
320,prob_PB,"О, ты уверена, что я не знаю, что это значит? "
321,prob_PB,"Кто ты, я парень, что ты делаешь для веселья "
322,prob_NB,"Ладно, спасибо, что у меня все хорошо, только что закончилось с моими ночными пробежками. "
323,prob_NB,"Ваша работа, я медсестра, а что насчет вас? "
324,prob_PB,"Я врач, я медсестра, что ты делаешь. "
325,prob_B,"Да, и долгое время ты женат. "
326,prob_B,"Нет, я не просто останусь дома. Ты любишь пить алкоголь? "
327,prob_B,"Да, особенно, когда ты пьешь это, как твоя любимая телепрограмма. "
328,prob_B,"Я люблю бегать, но моя любимая вещь, которую я читаю по воскресеньям, у тебя есть кошка? "
329,prob_B,"Нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет, нет."
330,prob_B,"У меня много братьев и сестёр, так что трудно заботиться о твоей любимой еде. "
331,prob_B,"Я люблю пиццу. А как насчет тебя, как твой день улыбается с улыбающимися глазами, я люблю говорить о себе, новых детях в блоке?"
332,prob_NB,"Здравствуйте, хорошо, что вы слушаете музыку. "
333,prob_PB,"Знаешь ли ты, Звездные Войны не то, что я вожу кабриолет под дождем"
334,prob_B,Я большой фанат звездных войн рядом с моим собачьим лицом с высунутым языком и подмигивающим глазом.
335,prob_PB,"Лол, что кролики олени в таком роде тоже пытаются угадать, что я танцую "
336,prob_PB,"Забавно, что ты брал уроки на неделю. "
337,prob_B,"Ты любишь кофе, я никогда туда не хожу, я не люблю толпы, но я люблю пудинг."
338,prob_PB,"Я пробую различные кофе в качестве хобби, которое может быть стрессом, возможно, вы могли бы заполучить собаку и попытаться угадать, что я родилась "
339,prob_PB,"Хаха, нет, рано ты забавный. "
340,prob_PB,Этот разговор не имеет смысла я люблю заставлять людей смеяться все хотят быть моим другом
341,prob_PB,"Да, я бы хотел, чтобы мы были, потому что ее отец лучше моего."
342,prob_B,"Я немного застенчиво улыбаюсь, расскажи мне о себе."
343,prob_B,"Я в отставке. Ты электрик. Нет, я не электрик."
344,prob_NB,"Я всего лишь старик, вау, это впечатляет. "
